NOVA_EXT_MAX,symbol,net,trades,win_pct,gross,costs,risk_total
-0.15,BTCUSDT,0.0,0,0.0,0.0,0.0,0.0
0.1,BTCUSDT,-188.36,78,15.38,14.2,202.56,0.0
0.5,BTCUSDT,-1039.1,356,11.52,-114.86,924.25,0.0
1.0,BTCUSDT,-1678.37,594,11.11,-136.15,1542.22,0.0
-0.15,BNBUSDT,0.0,0,0.0,0.0,0.0,0.0
0.1,BNBUSDT,-235.49,77,14.29,-35.59,199.89,0.0
0.5,BNBUSDT,-1140.09,390,12.56,-127.57,1012.52,0.0
1.0,BNBUSDT,-1643.57,608,13.65,-64.91,1578.66,0.0
-0.15,LINKUSDT,4.02,1,100.0,6.63,2.61,0.0
0.1,LINKUSDT,-132.75,68,30.88,43.87,176.63,0.0
0.5,LINKUSDT,-931.38,315,22.54,-113.59,817.79,0.0
1.0,LINKUSDT,-1428.92,527,23.53,-60.58,1368.34,0.0
-0.15,SOLUSDT,0.0,0,0.0,0.0,0.0,0.0
0.1,SOLUSDT,-148.13,69,24.64,31.08,179.21,0.0
0.5,SOLUSDT,-960.23,339,20.35,-80.08,880.15,0.0
1.0,SOLUSDT,-1477.24,528,20.64,-106.36,1370.88,0.0
