symbol,NOVA_EXIT,NOVA_TRIGGER,net,trades,win_pct,pf
ATOMUSDT,std,MSS,33.49306999331126,3,66.67,1.5942307263565185
ATOMUSDT,std,FVG,-341.95100868397697,137,33.58,0.9289020966560105
ATOMUSDT,std,SFP,-223.430144887062,36,27.78,0.8293135586518319
ATOMUSDT,std,MicroBurst,219.36522861183926,92,38.04,1.0750481207408848
ATOMUSDT,std,RSI,-439.36731578338373,52,32.69,0.7960197588669055
ATOMUSDT,std,MACD,-676.7379366164193,84,29.76,0.7837388087815313
ATOMUSDT,std,Bollinger,-1259.1372885789765,123,27.64,0.7231813961177717
ATOMUSDT,std,EMA,426.4424553783776,28,42.86,1.4453440510917082
ATOMUSDT,std,ADX,-966.3079301679203,48,22.92,0.49153012027291376
ATOMUSDT,std,Stochastic,-354.35759993214594,85,30.59,0.888616964884324
ATOMUSDT,std,OBV,141.14852086645323,120,35.83,1.0363011386097767
ATOMUSDT,std,SuperTrend,0.0,0,0.0,0.0
ATOMUSDT,std,RSI7,-697.4808119665307,55,29.09,0.682357703246618
ATOMUSDT,std,KAMA,371.1123708180907,48,37.5,1.3131685859082507
ATOMUSDT,std,ELITE8,-3014.334055696034,312,28.53,0.7336563245028617
ATOMUSDT,std,ALL14,-3597.020042826077,480,30.21,0.7909549626797884
ATOMUSDT,dual,MSS,20.721542888382835,3,100.0,inf
ATOMUSDT,dual,FVG,1731.671257385582,216,91.2,3.344031725964437
ATOMUSDT,dual,SFP,221.6915484093962,44,90.91,2.4019498309354534
ATOMUSDT,dual,MicroBurst,1223.998228719633,130,89.23,2.940074197732473
ATOMUSDT,dual,RSI,489.7352474309652,66,89.39,2.4075954753056945
ATOMUSDT,dual,MACD,545.7953822013619,107,85.98,1.7806147054151613
ATOMUSDT,dual,Bollinger,432.8746371449158,164,84.15,1.377803889729649
ATOMUSDT,dual,EMA,348.48535039376816,40,95.0,3.4049506069874127
ATOMUSDT,dual,ADX,230.16679887257237,50,90.0,1.9777212257022418
ATOMUSDT,dual,Stochastic,601.3993189650174,111,90.99,2.2872072788442757
ATOMUSDT,dual,OBV,783.4832191477824,168,87.5,1.858523174886042
ATOMUSDT,dual,SuperTrend,0.0,0,0.0,0.0
ATOMUSDT,dual,RSI7,424.350374738053,69,89.86,2.2171745316273634
ATOMUSDT,dual,KAMA,378.6563202360452,62,90.32,2.986010796364364
ATOMUSDT,dual,ELITE8,2296.890517058037,437,89.47,2.069615651048739
ATOMUSDT,dual,ALL14,3197.7297475827877,624,88.78,2.0259590107917735
BNBUSDT,std,MSS,0.0,0,0.0,0.0
BNBUSDT,std,FVG,1071.1015698603271,134,41.04,1.381840349993705
BNBUSDT,std,SFP,553.3360394823214,27,44.44,2.177169297595612
BNBUSDT,std,MicroBurst,-139.91142487108127,118,31.36,0.9486420573797638
BNBUSDT,std,RSI,787.5241594426165,31,51.61,2.3833897453577335
BNBUSDT,std,MACD,422.6194088177127,88,39.77,1.2051303272756075
BNBUSDT,std,Bollinger,1404.8303229091275,132,42.42,1.536872837364371
BNBUSDT,std,EMA,945.66032827034,60,46.67,1.8227370674884893
BNBUSDT,std,ADX,568.3260319279857,42,45.24,1.688723597103881
BNBUSDT,std,Stochastic,737.7411106391713,54,38.89,1.665133322686528
BNBUSDT,std,OBV,833.9096079941361,125,40.8,1.3162472918599062
BNBUSDT,std,SuperTrend,0.0,0,0.0,0.0
BNBUSDT,std,RSI7,97.1566672971077,32,34.38,1.127966766036234
BNBUSDT,std,KAMA,897.48669314473,56,50.0,1.961904800957381
BNBUSDT,std,ELITE8,3692.055562583718,307,43.32,1.631025428851987
BNBUSDT,std,ALL14,4405.863716299553,469,42.0,1.4724043348374256
BNBUSDT,dual,MSS,0.0,0,0.0,0.0
