NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,net,trades,win_pct,gross,costs,risk_total
20,-1.5,0.5,LINKUSDT,-551.75,197,22.84,-40.27,511.48,0.0
20,-1.5,0.6,LINKUSDT,-506.05,177,22.6,-46.51,459.54,0.0
20,-2.0,0.5,LINKUSDT,-158.11,32,15.62,-75.12,82.99,0.0
20,-2.0,0.6,LINKUSDT,-149.27,30,16.67,-71.46,77.81,0.0
20,-2.5,0.5,LINKUSDT,-39.08,1,0.0,-36.53,2.55,0.0
20,-2.5,0.6,LINKUSDT,-39.08,1,0.0,-36.53,2.55,0.0
30,-1.5,0.5,LINKUSDT,-672.75,257,23.35,-5.43,667.33,0.0
30,-1.5,0.6,LINKUSDT,-641.17,236,23.31,-28.4,612.77,0.0
30,-2.0,0.5,LINKUSDT,-200.6,65,20.0,-31.86,168.74,0.0
30,-2.0,0.6,LINKUSDT,-188.44,56,19.64,-43.09,145.36,0.0
30,-2.5,0.5,LINKUSDT,-73.55,7,0.0,-55.45,18.1,0.0
30,-2.5,0.6,LINKUSDT,-69.27,6,0.0,-53.76,15.51,0.0
50,-1.5,0.5,LINKUSDT,-603.13,276,26.09,113.68,716.82,0.0
50,-1.5,0.6,LINKUSDT,-553.44,251,26.29,98.44,651.88,0.0
50,-2.0,0.5,LINKUSDT,-331.29,103,20.39,-63.92,267.37,0.0
50,-2.0,0.6,LINKUSDT,-283.91,94,21.28,-39.88,244.03,0.0
50,-2.5,0.5,LINKUSDT,-109.4,28,32.14,-36.74,72.66,0.0
50,-2.5,0.6,LINKUSDT,-95.76,23,30.43,-36.08,59.68,0.0
