symbol,exit,trigger,slip_per_side,cost_per_side,net,trades,win_pct,pf,delta_vs_base
FILUSDT,dual,ALL14,0.0003,0.0013,5937.685188493907,726,89.81,2.57868741527915,0.0
FILUSDT,dual,ALL14,0.001,0.002,4915.731401142615,719,88.73,2.17866004333251,-1021.9537873512918
FILUSDT,dual,ALL14,0.003,0.004,1551.4470292763483,696,84.77,1.275971323013788,-4386.238159217559
