العملة,احتفاظ$,عائد%,شمعة
ATOMUSDT,-10.62,-53.11,5107
BTCUSDT,-2.14,-10.69,5107
DOGEUSDT,-13.57,-67.84,5107
ETHUSDT,-6.71,-33.57,5107
FILUSDT,-18.41,-92.07,5107
IMXUSDT,-8.31,-41.57,4319
LINKUSDT,-8.77,-43.85,5107
PEPEUSDT,-6.74,-33.68,1437
SHIBUSDT,10.3,51.5,5107
SOLUSDT,-1.46,-7.28,5107
VETUSDT,-14.32,-71.61,5107
XLMUSDT,-12.3,-61.49,5107
