العملة,احتفاظ$,عائد%,شمعة
ATOMUSDT,-17.26,-86.28,5838
BTCUSDT,16.65,83.24,5838
DOGEUSDT,-1.72,-8.62,5838
ETHUSDT,1.13,5.64,5838
FILUSDT,-18.1,-90.49,5838
GRAMUSDT,-13.88,-69.38,4503
IMXUSDT,-18.85,-94.26,5838
LINKUSDT,-5.12,-25.61,5838
PEPEUSDT,32.17,160.86,5838
RENDERUSDT,-16.03,-80.15,4594
SHIBUSDT,-10.45,-52.25,5838
SOLUSDT,-0.05,-0.23,5838
TONUSDT,-12.67,-63.33,4145
VETUSDT,-16.1,-80.48,5838
XLMUSDT,6.98,34.89,5838
