الإعداد,net,trades,pf,per,mdd,رابح
min_atr=0.0,2664.7,13077,4.6822,0.20377,18.41,True
min_atr=0.05,2556.9,12320,4.8026,0.20754,17.15,True
min_atr=0.1,2428.26,11443,4.9149,0.2122,17.04,True
