NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-01T03:06:00+00:00,2026-06-01T03:54:00+00:00,74016.386377,73685.400666,1000.0,-4.4718,,stop,48
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-01T17:01:00+00:00,2026-06-01T21:05:00+00:00,71621.58718,71244.632883,1000.0,-5.2631,,stop,244
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-01T23:41:00+00:00,2026-06-01T23:53:00+00:00,71662.179882,71342.830619,1000.0,-4.4563,,stop,12
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-02T20:56:00+00:00,2026-06-02T22:10:00+00:00,67705.9034,67216.479661,1000.0,-7.2287,,stop,74
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-03T05:06:00+00:00,2026-06-03T15:07:00+00:00,67018.250612,66476.166248,1000.0,-8.0886,,stop,601
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-03T06:36:00+00:00,2026-06-03T06:50:00+00:00,67505.54327,67097.992337,1000.0,-6.0373,,stop,14
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-03T10:11:00+00:00,2026-06-03T10:20:00+00:00,67497.612974,67106.037283,1000.0,-5.8013,,stop,9
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-03T21:51:00+00:00,2026-06-03T22:15:00+00:00,65752.66749,65190.860484,1000.0,-8.5442,,stop,24
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T03:06:00+00:00,2026-06-04T09:26:00+00:00,63859.069008,62851.253165,1000.0,-15.7819,,stop,380
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T04:16:00+00:00,2026-06-04T05:01:00+00:00,64676.209912,64147.465371,1000.0,-8.1753,,stop,45
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T12:26:00+00:00,2026-06-04T14:08:00+00:00,63305.540355,64278.4924,1000.0,15.3691,,tp,102
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T12:51:00+00:00,2026-06-04T13:17:00+00:00,64043.148,63377.013493,1000.0,-10.4013,,stop,26
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T13:41:00+00:00,2026-06-04T16:30:00+00:00,64194.504508,63499.306527,1000.0,-10.8296,,stop,169
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T19:31:00+00:00,2026-06-04T19:52:00+00:00,64112.688285,63597.957605,1000.0,-8.0285,,stop,21
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T23:06:00+00:00,2026-06-04T23:17:00+00:00,63892.692662,63467.660161,1000.0,-6.6523,,stop,11
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-04T23:56:00+00:00,2026-06-05T00:08:00+00:00,63998.99067,63647.743756,1000.0,-5.4883,,stop,12
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-05T04:31:00+00:00,2026-06-05T05:47:00+00:00,63140.616232,62617.621648,1000.0,-8.283,,stop,76
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-05T05:01:00+00:00,2026-06-05T05:37:00+00:00,63592.843364,63007.131758,1000.0,-9.2103,,stop,36
std,0.0025,0.0015,BTCUSDT,F_197,2026-06-05T08:01:00+00:00,2026-06-05T08:38:00+00:00,63172.878118,62468.432019,1000.0,-11.1511,,stop,37
