التركيبة,صفقات,صافي$,عامل الربح,فوز%,متوسط الرابحة$,متوسط الخاسرة$,أقصى هبوط$,أسوأ يوم$,DSR,فرق الصافي$,فرق الهبوط$
الفائزة الحالية (مرجع),10564,1898.85,3.5292,93.59,0.268,-1.1089,22.47,-17.92,1.0,0.0,0.0
وقف زمني 12 شمعة,10564,1900.06,3.5673,93.18,0.2682,-1.0279,22.47,-17.92,1.0,1.21,0.0
وقف زمني 24 شمعة,10564,1906.6,3.5716,93.55,0.2679,-1.0887,22.47,-17.92,1.0,7.75,0.0
وقف زمني 48 شمعة,10564,1900.5,3.537,93.59,0.268,-1.1065,22.47,-17.92,1.0,1.65,0.0
تعادل عند 0.30%,10564,1898.85,3.5292,93.59,0.268,-1.1089,22.47,-17.92,1.0,0.0,0.0
تعادل عند 0.50%,10564,1898.85,3.5292,93.59,0.268,-1.1089,22.47,-17.92,1.0,0.0,0.0
جني نصف عند 0.50%,10564,964.27,2.2844,93.59,0.1735,-1.1089,24.72,-18.29,1.0,-934.58,2.25
جني نصف عند 1.00%,10564,1240.61,2.6525,93.59,0.2014,-1.1089,22.5,-18.12,1.0,-658.24,0.03
جني ثلث عند 0.50%,10564,1282.08,2.7077,93.59,0.2056,-1.1089,22.54,-18.17,1.0,-616.77,0.07
متتبّع بالمدى 1.0,10355,1061.9,2.4298,93.54,0.1863,-1.1102,33.83,-18.58,1.0,-836.95,11.36
متتبّع بالمدى 2.0,10320,964.17,2.3038,93.55,0.1765,-1.1103,34.43,-18.58,1.0,-934.68,11.96
متتبّع بالمدى 0.5,10428,1198.54,2.6045,93.55,0.1994,-1.1099,24.84,-18.58,1.0,-700.31,2.37
