symbol,NOVA_EXIT,NOVA_TRIGGER,net,trades,win_pct,pf
IMXUSDT,std,MSS,-209.21983094758968,3,0.0,0.0
IMXUSDT,std,FVG,1547.7620820487891,132,36.36,1.2754226470761292
IMXUSDT,std,SFP,398.76872268601807,32,37.5,1.299213302025896
IMXUSDT,std,MicroBurst,237.40055010262196,109,33.94,1.0489913656308116
IMXUSDT,std,RSI,-493.86756328187937,41,26.83,0.7729213480246983
IMXUSDT,std,MACD,-676.5109113959155,78,28.21,0.8272885386605997
IMXUSDT,std,Bollinger,-681.258639696686,117,29.91,0.8763427079055143
IMXUSDT,std,EMA,-529.3455573399057,37,27.03,0.7200803243438685
IMXUSDT,std,ADX,-1264.346618960485,42,19.05,0.4352842510050741
IMXUSDT,std,Stochastic,-230.62748094348754,86,31.4,0.9424771826349037
IMXUSDT,std,OBV,1129.833905280832,121,38.02,1.2222282911981757
IMXUSDT,std,SuperTrend,0.0,0,0.0,0.0
IMXUSDT,std,RSI7,-55.78432395666816,41,34.15,0.9715644220888167
IMXUSDT,std,KAMA,-516.4995813978194,46,28.26,0.7507180946066128
IMXUSDT,std,ELITE8,-282.2411755131906,294,32.65,0.978709547772569
IMXUSDT,std,ALL14,2275.138505391094,444,35.14,1.1169935633787391
IMXUSDT,dual,MSS,58.29697271924698,3,100.0,inf
IMXUSDT,dual,FVG,3047.639848603266,202,94.06,5.337694916355862
IMXUSDT,dual,SFP,782.4625172146102,44,97.73,13.946637842382877
IMXUSDT,dual,MicroBurst,2352.6657646215845,160,91.25,3.768971236249314
IMXUSDT,dual,RSI,550.5663579344737,56,92.86,3.145810552060791
IMXUSDT,dual,MACD,1380.4745495309282,104,92.31,3.5052018090353863
IMXUSDT,dual,Bollinger,1645.0573668080383,161,94.41,3.9478420922375617
IMXUSDT,dual,EMA,579.4274522336556,51,92.16,3.4452098774443574
IMXUSDT,dual,ADX,647.0590890993127,44,90.91,3.30257317507341
IMXUSDT,dual,Stochastic,1326.9507808559783,115,91.3,3.0891267322518545
IMXUSDT,dual,OBV,2318.116772101981,175,93.71,4.533701116708565
IMXUSDT,dual,SuperTrend,0.0,0,0.0,0.0
IMXUSDT,dual,RSI7,455.60143339714256,51,94.12,3.097899921791002
IMXUSDT,dual,KAMA,855.1825266818726,60,95.0,6.3071395411713995
IMXUSDT,dual,ELITE8,5385.88856901595,408,93.63,4.22157214213221
IMXUSDT,dual,ALL14,7460.054179444137,596,93.96,4.251564764258208
