symbol,NOVA_SMA,NOVA_EMA_FAST,NOVA_OSC_P,net,trades,win_pct,pf
LINKUSDT,20,5,2,106.90015023326393,1846,85.92,1.8463230172332894
LINKUSDT,20,5,7,147.21830882631025,2419,86.94,1.9605607538527885
LINKUSDT,20,5,14,149.38329779475905,2423,87.04,1.9827014675610568
LINKUSDT,20,7,2,109.08688066358468,1863,86.15,1.8701912058968724
LINKUSDT,20,7,7,139.94078120846677,2565,86.51,1.833783888676589
LINKUSDT,20,7,14,142.042848591156,2577,86.69,1.8550784022088587
LINKUSDT,20,9,2,110.64558406793722,1884,86.04,1.8749086177995626
LINKUSDT,20,9,7,149.48038254754675,2656,86.56,1.8723190012403481
LINKUSDT,20,9,14,150.86513018134605,2678,86.71,1.8806833696716458
LINKUSDT,50,5,2,99.84854021870946,1608,86.07,1.8861307281468516
LINKUSDT,50,5,7,132.09739062793784,2104,86.64,1.958656336404071
LINKUSDT,50,5,14,132.8202852669195,2135,86.65,1.9389389340805243
LINKUSDT,50,7,2,106.49943156543272,1587,86.7,2.0177468735870545
LINKUSDT,50,7,7,125.61470527406728,2190,86.26,1.852033749305551
LINKUSDT,50,7,14,129.47119087330506,2226,86.43,1.8773043507206941
LINKUSDT,50,9,2,107.36544897531407,1583,86.73,2.0472532277307254
LINKUSDT,50,9,7,135.66098413352407,2241,86.66,1.9293978860873378
LINKUSDT,50,9,14,140.1607478663613,2285,86.83,1.9540173425123288
LINKUSDT,100,5,2,93.62115725969556,1525,85.77,1.8620866219426135
LINKUSDT,100,5,7,121.79390680259515,1968,86.08,1.9163854384010282
LINKUSDT,100,5,14,123.43661990824775,2017,86.17,1.8994903481709555
LINKUSDT,100,7,2,93.71328667379926,1489,85.9,1.905241164356455
LINKUSDT,100,7,7,116.05426185156847,2025,85.83,1.8226117275720155
LINKUSDT,100,7,14,118.2216776218336,2075,85.93,1.8181541096061669
LINKUSDT,100,9,2,98.03587617327754,1465,86.42,2.0119090852866717
LINKUSDT,100,9,7,119.33733340495814,2057,86.0,1.8488554398612753
LINKUSDT,100,9,14,126.90220009053412,2103,86.31,1.9034924306850969
