symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
BTCUSDT,MSS,-1108.4696754277775,2919,69.68,0.8931046009501038,-1.6395066085665349
BTCUSDT,FVG,-1145.4554731910564,2529,69.47,0.8743116003706565,-38.62530437184546
BTCUSDT,SFP,-1118.2429843896748,2915,69.67,0.8920873309630326,-11.412815570463863
BTCUSDT,MicroBurst,-1120.5894616280093,2854,69.76,0.8887096086425081,-13.759292808798364
BTCUSDT,RSI,-1062.024647610619,2898,69.7,0.8965858378568101,44.80552120859193
BTCUSDT,MACD,-1035.9922737864865,2813,69.93,0.8956186448431299,70.83789503272442
BTCUSDT,Bollinger,-684.5439905917941,2510,70.88,0.9230671795444345,422.2861782274168
BTCUSDT,EMA,-1051.2907386962572,2870,69.83,0.8965641314737691,55.53943012295372
BTCUSDT,ADX,-1125.2377254975029,2823,69.71,0.8888247461256802,-18.40755667829194
BTCUSDT,Stochastic,-1110.2980570947295,2796,69.6,0.8890962863555296,-3.4678882755185896
BTCUSDT,OBV,-954.5285632722993,2745,70.02,0.9010457138971268,152.30160554691167
BTCUSDT,SuperTrend,-1106.830168819211,2919,69.68,0.8932627069561161,0.0
BTCUSDT,RSI7,-1125.9659877371096,2918,69.64,0.8915534608439127,-19.135818917898632
BTCUSDT,KAMA,-1078.8734271336461,2875,69.74,0.8942898216704713,27.956741685564793
