symbol,exit,trigger,slip_per_side,cost_per_side,net,trades,win_pct,pf,delta_vs_base
BTCUSDT,dual,ALL14,0.0003,0.0013,-1106.830168819211,2919,69.68,0.8932627069561161,0.0
BTCUSDT,dual,ALL14,0.001,0.002,-5398.221526230591,2919,64.1,0.578394181988281,-4291.391357411379
BTCUSDT,dual,ALL14,0.003,0.004,-19697.37133093198,3070,45.86,0.12979306089605475,-18590.541162112768
