symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
RENDERUSDT,std,0.0025,0.0015,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.0025,0.0045,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.004,0.0015,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.004,0.0045,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.005,0.0015,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,std,0.005,0.0045,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,dual,0.0025,0.0015,-2034.9570687009843,1302,62.9,0.581013914136428
RENDERUSDT,dual,0.0025,0.0045,-1026.778183171819,1310,62.82,0.7903352220042831
RENDERUSDT,dual,0.004,0.0015,-2102.9271014085843,1261,55.67,0.6278679668878269
RENDERUSDT,dual,0.004,0.0045,-1763.0785737364356,1264,55.7,0.6886093182973508
RENDERUSDT,dual,0.005,0.0015,-2009.2975232992696,1243,52.13,0.6680833638844105
RENDERUSDT,dual,0.005,0.0045,-1887.309891102017,1245,52.21,0.6882345480953636
