symbol,slip_per_side,cost_per_side,net,trades,pf
ATOMUSDT,0.0003,0.0013,4343.97,782,2.275
ATOMUSDT,0.001,0.002,3210.2,773,1.853
ATOMUSDT,0.003,0.004,-750.91,755,0.864
DOGEUSDT,0.0003,0.0013,4994.62,751,2.399
DOGEUSDT,0.001,0.002,4078.06,747,2.042
DOGEUSDT,0.003,0.004,608.51,719,1.111
IMXUSDT,0.0003,0.0013,7876.21,717,3.23
IMXUSDT,0.001,0.002,6714.75,714,2.703
IMXUSDT,0.003,0.004,3095.71,698,1.549
PEPEUSDT,0.0003,0.0013,6962.92,726,2.818
PEPEUSDT,0.001,0.002,5730.6,721,2.337
PEPEUSDT,0.003,0.004,2863.02,703,1.532
SHIBUSDT,0.0003,0.0013,4697.64,753,2.384
SHIBUSDT,0.001,0.002,3287.62,743,1.835
SHIBUSDT,0.003,0.004,-6.74,721,0.999
TONUSDT,0.0003,0.0013,3691.74,668,2.227
TONUSDT,0.001,0.002,2740.95,661,1.831
TONUSDT,0.003,0.004,-724.15,639,0.853
VETUSDT,0.0003,0.0013,5510.45,772,2.52
VETUSDT,0.001,0.002,4287.44,758,2.063
VETUSDT,0.003,0.004,627.88,735,1.111
