cost,الفترة,العمود,متعدد_الإطلاق,net,trades,per,gross,costs,median_hold,overlap_ratio,max_concurrent,overlapping_trades
0.00075,SEL,كاسرة النطاق,396,-27.75,674,-0.04117,-7.56,20.2,27.0,0.0,1,0
0.00075,SEL,انحراف الدخول,396,4.79,2,2.395,4.86,0.06,76.5,0.0,1,0
0.00075,SEL,التنقيط التعويضي,396,-1.31,2,-0.655,-1.25,0.06,30.0,0.0,1,0
0.00075,SEL,دونشيان,396,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.00075,SEL,ماكد,396,3.1,23,0.13478,3.79,0.69,17.0,0.0,1,0
0.00075,SEL,بولنجر,396,1.78,86,0.0207,4.36,2.58,25.0,0.0,1,0
0.00075,SEL,سناب المؤشر,396,61.35,254,0.24154,69.02,7.67,37.5,0.0,1,0
0.00075,SEL,بلا عمود,396,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.00075,JUD,كاسرة النطاق,575,-1.8,1079,-0.00167,30.56,32.37,25.0,0.0,1,0
0.00075,JUD,انحراف الدخول,575,11.81,6,1.96833,12.0,0.19,11.5,0.0,1,0
0.00075,JUD,التنقيط التعويضي,575,0.07,3,0.02333,0.16,0.09,31.0,0.0,1,0
0.00075,JUD,دونشيان,575,-3.49,3,-1.16333,-3.4,0.09,12.0,0.0,1,0
0.00075,JUD,ماكد,575,1.16,9,0.12889,1.43,0.27,26.0,0.0,1,0
0.00075,JUD,بولنجر,575,9.83,97,0.10134,12.75,2.92,22.0,0.0,1,0
0.00075,JUD,سناب المؤشر,575,-18.21,407,-0.04474,-6.01,12.2,28.0,0.0,1,0
0.00075,JUD,بلا عمود,575,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,SEL,كاسرة النطاق,390,-8.91,667,-0.01336,-8.91,0.0,27.0,0.0,1,0
0.0,SEL,انحراف الدخول,390,4.86,2,2.43,4.86,0.0,76.5,0.0,1,0
0.0,SEL,التنقيط التعويضي,390,-1.27,2,-0.635,-1.27,0.0,30.0,0.0,1,0
0.0,SEL,دونشيان,390,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,SEL,ماكد,390,4.19,23,0.18217,4.19,0.0,18.0,0.0,1,0
0.0,SEL,بولنجر,390,4.24,85,0.04988,4.24,0.0,24.0,0.0,1,0
0.0,SEL,سناب المؤشر,390,72.72,254,0.2863,72.72,0.0,37.0,0.0,1,0
0.0,SEL,بلا عمود,390,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,JUD,كاسرة النطاق,573,27.28,1076,0.02535,27.28,0.0,25.0,0.0,1,0
0.0,JUD,انحراف الدخول,573,11.98,6,1.99667,11.98,0.0,11.5,0.0,1,0
0.0,JUD,التنقيط التعويضي,573,0.14,3,0.04667,0.14,0.0,31.0,0.0,1,0
0.0,JUD,دونشيان,573,-3.43,3,-1.14333,-3.43,0.0,12.0,0.0,1,0
0.0,JUD,ماكد,573,1.4,9,0.15556,1.4,0.0,26.0,0.0,1,0
0.0,JUD,بولنجر,573,12.07,97,0.12443,12.07,0.0,22.0,0.0,1,0
0.0,JUD,سناب المؤشر,573,-7.2,406,-0.01773,-7.2,0.0,28.5,0.0,1,0
0.0,JUD,بلا عمود,573,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0013,SEL,كاسرة النطاق,400,-41.06,676,-0.06074,-5.96,35.1,27.0,0.0,1,0
0.0013,SEL,انحراف الدخول,400,4.74,2,2.37,4.85,0.11,76.5,0.0,1,0
0.0013,SEL,التنقيط التعويضي,400,-1.34,2,-0.67,-1.24,0.1,30.0,0.0,1,0
0.0013,SEL,دونشيان,400,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0013,SEL,ماكد,400,2.71,23,0.11783,3.91,1.2,17.0,0.0,1,0
0.0013,SEL,بولنجر,400,0.18,86,0.00209,4.66,4.47,25.0,0.0,1,0
0.0013,SEL,سناب المؤشر,400,57.57,256,0.22488,70.96,13.39,38.5,0.0,1,0
0.0013,SEL,بلا عمود,400,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
0.0013,JUD,كاسرة النطاق,580,-25.96,1085,-0.02393,30.43,56.39,25.0,0.0,1,0
0.0013,JUD,انحراف الدخول,580,11.69,6,1.94833,12.02,0.33,11.5,0.0,1,0
0.0013,JUD,التنقيط التعويضي,580,0.01,3,0.00333,0.17,0.16,31.0,0.0,1,0
0.0013,JUD,دونشيان,580,-3.53,3,-1.17667,-3.38,0.15,12.0,0.0,1,0
0.0013,JUD,ماكد,580,0.98,9,0.10889,1.45,0.47,26.0,0.0,1,0
0.0013,JUD,بولنجر,580,8.2,97,0.08454,13.25,5.05,22.0,0.0,1,0
0.0013,JUD,سناب المؤشر,580,-27.84,407,-0.0684,-6.71,21.13,28.0,0.0,1,0
0.0013,JUD,بلا عمود,580,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
