symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,bars_held,exit_side,regime
ATOMUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,10.6,1.458,20.0,-17.2491,5837,eod,
BTCUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,42283.58,77682.0,20.0,16.7433,5837,eod,
DOGEUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,0.08956,0.08205,20.0,-1.6771,5837,eod,
ETHUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,2281.87,2416.88,20.0,1.1833,5837,eod,
FILUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,6.921,0.66,20.0,-18.0928,5837,eod,
GRAMUSDT,buyhold,2024-08-08T08:00:00+00:00,2026-08-30T20:00:00+00:00,4.352,1.336,20.0,-13.8603,4502,eod,
IMXUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,2.1315,0.1226,20.0,-18.8496,5837,eod,
LINKUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,14.942,11.144,20.0,-5.0837,5837,eod,
PEPEUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,1.3e-06,3.4e-06,20.0,32.3077,5837,eod,
RENDERUSDT,buyhold,2024-07-26T08:00:00+00:00,2026-08-30T20:00:00+00:00,7.03,1.399,20.0,-16.0199,4593,eod,
SHIBUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,1.036e-05,4.96e-06,20.0,-10.4247,5837,eod,
SOLUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,101.72,101.75,20.0,0.0059,5837,eod,
TONUSDT,buyhold,2024-08-08T08:00:00+00:00,2026-06-30T00:00:00+00:00,4.352,1.6,20.0,-12.6471,4144,eod,
VETUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,0.03433,0.006719,20.0,-16.0856,5837,eod,
XLMUSDT,buyhold,2024-01-01T00:00:00+00:00,2026-08-30T20:00:00+00:00,0.1291,0.1746,20.0,7.0488,5837,eod,
