symbol,NOVA_COOLDOWN_S,NOVA_MAX_PER,net,trades,win_pct,pf
LINKUSDT,120.0,2,960.3261115082805,346,37.28,1.161131464869405
LINKUSDT,120.0,3,1038.5828041129514,410,36.59,1.1488560114536255
LINKUSDT,300.0,2,960.3261115082805,346,37.28,1.161131464869405
LINKUSDT,300.0,3,1038.5828041129514,410,36.59,1.1488560114536255
