symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
BTCUSDT,20,-1.5,0.5,-2.013324202029507,70,71.43,0.6309724347463341
BTCUSDT,20,-1.5,0.6,-1.801609480713442,64,71.88,0.6350208954805234
BTCUSDT,20,-2.0,0.5,-0.23311736934381422,15,66.67,0.776599404383287
BTCUSDT,20,-2.0,0.6,-0.42420160128060236,13,61.54,0.5934799253508964
BTCUSDT,20,-2.5,0.5,0.1272012319367868,1,100.0,inf
BTCUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
BTCUSDT,30,-1.5,0.5,-0.9436304848599912,78,74.36,0.81527307002728
BTCUSDT,30,-1.5,0.6,-0.40679964265398866,71,76.06,0.9056269920735572
BTCUSDT,30,-2.0,0.5,-0.7593791384065702,19,68.42,0.5353522078646141
BTCUSDT,30,-2.0,0.6,-0.8232621384065717,18,66.67,0.4962635716304524
BTCUSDT,30,-2.5,0.5,0.003004522791513836,7,71.43,1.0083259227224792
BTCUSDT,30,-2.5,0.6,-0.060878477208487575,6,66.67,0.8312978360051998
BTCUSDT,50,-1.5,0.5,-1.1067468281268298,79,74.68,0.7882654113282183
BTCUSDT,50,-1.5,0.6,-1.120716494263945,69,73.91,0.76220568319139
BTCUSDT,50,-2.0,0.5,-0.9221512963818346,34,70.59,0.6332305019576969
BTCUSDT,50,-2.0,0.6,-0.8776474652338675,30,70.0,0.6138420995296469
BTCUSDT,50,-2.5,0.5,-0.46210783367902,15,66.67,0.5965501435364021
BTCUSDT,50,-2.5,0.6,-0.5259908336790206,14,64.29,0.540776176288821
