symbol,entry_time,exit_time,entry,exit,reason,notional,stage
BTCUSDT,2022-02-25T00:00:00+00:00,2022-03-31T12:00:00+00:00,38328.68,46453.81,توزيع-قمة,150.0,0
BTCUSDT,2022-05-13T04:00:00+00:00,2022-06-13T00:00:00+00:00,30582.54,26028.8,إلغاء-دورة,150.0,0
BTCUSDT,2022-06-20T00:00:00+00:00,2022-06-30T20:00:00+00:00,20574.0,19942.21,نهاية-العينة,150.0,0
