symbol,net_20usd$,ret%
BTCUSDT,-8.438,-42.19
ETHUSDT,-10.0804,-50.4
FILUSDT,-19.1029,-95.51
LINKUSDT,-15.5733,-77.87
SOLUSDT,-16.164,-80.82
XLMUSDT,-12.9215,-64.61
