exp,symbol,neighbour,is_center,net,trades,pf,positive
F_001_rsi2_snap,SOLUSDT,rsi2_os=12/sma_trend=200/sma_pull=4,False,5.2096,116,1.4318,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=12/sma_trend=200/sma_pull=5,False,5.2096,116,1.4318,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=12/sma_trend=200/sma_pull=6,False,5.2096,116,1.4318,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=12/sma_trend=240/sma_pull=4,False,5.32,117,1.4458,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=12/sma_trend=240/sma_pull=5,False,5.32,117,1.4458,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=12/sma_trend=240/sma_pull=6,False,5.32,117,1.4458,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=160/sma_pull=4,False,10.8599,152,1.8733,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=160/sma_pull=5,False,10.8599,152,1.8733,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=160/sma_pull=6,False,10.8599,152,1.8733,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=200/sma_pull=4,False,9.0987,151,1.6731,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=200/sma_pull=5,True,9.0987,151,1.6731,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=200/sma_pull=6,False,9.0987,151,1.6731,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=240/sma_pull=4,False,7.209,144,1.5032,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=240/sma_pull=5,False,7.209,144,1.5032,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=15/sma_trend=240/sma_pull=6,False,7.209,144,1.5032,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=160/sma_pull=4,False,12.5149,178,1.8394,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=160/sma_pull=5,False,12.5149,178,1.8394,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=160/sma_pull=6,False,12.5149,178,1.8394,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=200/sma_pull=4,False,9.349,178,1.5401,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=200/sma_pull=5,False,9.349,178,1.5401,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=200/sma_pull=6,False,9.349,178,1.5401,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=240/sma_pull=4,False,10.8697,172,1.6543,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=240/sma_pull=5,False,10.8697,172,1.6543,True
F_001_rsi2_snap,SOLUSDT,rsi2_os=18/sma_trend=240/sma_pull=6,False,10.8697,172,1.6543,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=160/sma_pull=2,False,14.6129,94,2.4916,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=160/sma_pull=3,False,14.6129,94,2.4916,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=160/sma_pull=4,False,14.6129,94,2.4916,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=200/sma_pull=2,False,17.1356,102,2.6568,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=200/sma_pull=3,False,17.1356,102,2.6568,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=200/sma_pull=4,False,17.1356,102,2.6568,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=240/sma_pull=2,False,18.0468,103,2.8789,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=240/sma_pull=3,False,18.7215,105,2.9491,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=12/sma_trend=240/sma_pull=4,False,18.7215,105,2.9491,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=160/sma_pull=2,False,18.7196,114,3.1284,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=160/sma_pull=3,False,18.7196,114,3.1284,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=160/sma_pull=4,False,18.7196,114,3.1284,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=200/sma_pull=2,False,20.1011,119,3.152,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=200/sma_pull=3,True,20.2912,121,3.1724,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=200/sma_pull=4,False,20.2912,121,3.1724,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=240/sma_pull=2,False,19.3074,118,3.067,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=240/sma_pull=3,False,19.3552,120,3.0722,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=15/sma_trend=240/sma_pull=4,False,19.3552,120,3.0722,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=160/sma_pull=2,False,23.2885,148,2.9027,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=160/sma_pull=3,False,23.2885,148,2.9027,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=160/sma_pull=4,False,23.2885,148,2.9027,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=200/sma_pull=2,False,23.74,152,2.7422,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=200/sma_pull=3,False,24.4435,155,2.7938,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=200/sma_pull=4,False,24.4435,155,2.7938,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=240/sma_pull=2,False,22.9908,149,2.6872,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=240/sma_pull=3,False,23.552,152,2.7284,True
F_001_rsi2_snap,XLMUSDT,rsi2_os=18/sma_trend=240/sma_pull=4,False,23.552,152,2.7284,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=80/sma_pull=2,False,12.6911,97,2.3529,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=80/sma_pull=3,False,12.1545,98,2.2957,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=80/sma_pull=4,False,12.1545,98,2.2957,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=100/sma_pull=2,False,9.6355,94,1.9441,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=100/sma_pull=3,False,9.6355,94,1.9441,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=100/sma_pull=4,False,9.6355,94,1.9441,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=120/sma_pull=2,False,8.373,100,1.6739,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=120/sma_pull=3,False,8.4368,101,1.679,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=12/sma_trend=120/sma_pull=4,False,8.4368,101,1.679,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=80/sma_pull=2,False,16.1998,131,2.2983,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=80/sma_pull=3,False,14.946,133,2.1327,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=80/sma_pull=4,False,15.375,134,2.1652,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=100/sma_pull=2,False,11.6012,134,1.7988,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=100/sma_pull=3,True,11.5324,135,1.7939,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=100/sma_pull=4,False,11.9614,136,1.8235,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=120/sma_pull=2,False,10.625,134,1.6897,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=120/sma_pull=3,False,10.5561,135,1.6852,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=15/sma_trend=120/sma_pull=4,False,10.9851,136,1.713,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=80/sma_pull=2,False,16.465,159,2.0408,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=80/sma_pull=3,False,15.4251,161,1.9327,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=80/sma_pull=4,False,15.8541,162,1.9587,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=100/sma_pull=2,False,11.7759,158,1.6591,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=100/sma_pull=3,False,12.4337,162,1.6959,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=100/sma_pull=4,False,12.8627,163,1.7199,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=120/sma_pull=2,False,9.4053,159,1.4683,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=120/sma_pull=3,False,10.1564,164,1.5056,True
F_001_rsi2_snap,LINKUSDT,rsi2_os=18/sma_trend=120/sma_pull=4,False,10.5854,165,1.527,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=160/sma_pull=2,False,18.5122,89,4.0696,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=160/sma_pull=3,False,18.9458,91,4.1415,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=160/sma_pull=4,False,18.9458,91,4.1415,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=200/sma_pull=2,False,18.72,94,3.6705,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=200/sma_pull=3,False,19.1536,96,3.7323,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=200/sma_pull=4,False,19.1536,96,3.7323,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=240/sma_pull=2,False,18.4713,99,3.177,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=240/sma_pull=3,False,18.9049,101,3.2281,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=12/sma_trend=240/sma_pull=4,False,18.9049,101,3.2281,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=160/sma_pull=2,False,26.2227,114,4.3853,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=160/sma_pull=3,False,27.8407,119,4.5941,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=160/sma_pull=4,False,27.8407,119,4.5941,True
F_001_rsi2_snap,RENDERUSDT,rsi2_os=15/sma_trend=200/sma_pull=2,False,25.8675,119,3.9646,True
