exp,count,mean,min,max
F_002_marsdx,14,0.4895,0.311,0.589
F_003_vwap_bounce,3,0.4446,0.3238,0.5311
F_004_orb_retest,14,0.4404,0.2484,0.6226
F_006_bb_squeeze,4,0.4182,0.2405,0.5449
