symbol,NOVA_EXIT,NOVA_TRIGGER,net,trades,win_pct,pf
BTCUSDT,std,MSS,33.89353519694835,6,33.33,1.401607896383336
BTCUSDT,std,FVG,1200.9006665442769,143,44.06,1.4784849768758663
BTCUSDT,std,SFP,408.7485288104112,32,43.75,1.7975905973058663
BTCUSDT,std,MicroBurst,928.8879314243081,107,44.86,1.5017642243191698
BTCUSDT,std,RSI,569.6988772892097,31,51.61,2.008879807229896
BTCUSDT,std,MACD,282.9422429845739,80,40.0,1.1779946454165695
BTCUSDT,std,Bollinger,181.38742557069847,134,35.82,1.070377569629878
BTCUSDT,std,EMA,475.57316330163735,53,47.17,1.505997565753626
BTCUSDT,std,ADX,-114.6386939958123,47,36.17,0.8780563133893201
BTCUSDT,std,Stochastic,-74.30601198938396,67,34.33,0.9499027412475057
BTCUSDT,std,OBV,389.97787549224097,128,36.72,1.1538403395714134
BTCUSDT,std,SuperTrend,0.0,0,0.0,0.0
BTCUSDT,std,RSI7,361.9557807252561,36,47.22,1.554764065874999
BTCUSDT,std,KAMA,539.3588630692327,44,50.0,1.7849246427934042
BTCUSDT,std,ELITE8,1877.832586475624,307,41.69,1.3326870992416069
BTCUSDT,std,ALL14,2802.554374771625,474,40.93,1.3245123396783507
BTCUSDT,dual,MSS,16.239268512336313,6,83.33,2.4730931583604296
BTCUSDT,dual,FVG,1405.536426839885,215,92.09,4.4482437990746435
BTCUSDT,dual,SFP,126.38702772926145,41,92.68,2.4405278719299135
BTCUSDT,dual,MicroBurst,1085.4435808044263,158,89.87,3.800220872509902
BTCUSDT,dual,RSI,376.24678803129837,39,100.0,inf
BTCUSDT,dual,MACD,351.44490966926645,107,86.92,1.952575904316354
BTCUSDT,dual,Bollinger,347.52868599604466,174,82.18,1.4881575749386633
BTCUSDT,dual,EMA,320.20417032883415,68,89.71,2.512871479097774
BTCUSDT,dual,ADX,253.2938114019891,53,92.45,4.127618360686106
BTCUSDT,dual,Stochastic,153.28507440904207,82,89.02,1.4869249466467254
BTCUSDT,dual,OBV,256.654024971744,164,85.98,1.3812765311184065
BTCUSDT,dual,SuperTrend,0.0,0,0.0,0.0
BTCUSDT,dual,RSI7,269.9182248288507,41,95.12,7.053457290804713
BTCUSDT,dual,KAMA,346.9694894065842,60,88.33,2.8599600692102354
BTCUSDT,dual,ELITE8,1093.354499927051,401,87.53,1.7487537444176564
BTCUSDT,dual,ALL14,2207.484950456822,579,86.87,2.172857353156603
ETHUSDT,std,MSS,9.652321040099324,3,33.33,1.1262139871271322
ETHUSDT,std,FVG,567.659499974658,140,38.57,1.17577934568659
ETHUSDT,std,SFP,610.7170018622455,25,44.0,2.1906229968681847
ETHUSDT,std,MicroBurst,265.17099079992647,109,36.7,1.1108101092176907
ETHUSDT,std,RSI,964.8239575899901,38,47.37,2.1520927981924234
ETHUSDT,std,MACD,52.88423598511417,82,37.8,1.0256785861158553
ETHUSDT,std,Bollinger,979.7288701375634,119,39.5,1.3942928983750464
ETHUSDT,std,EMA,436.36810676805703,39,38.46,1.5258373277032902
ETHUSDT,std,ADX,-282.31812710239296,50,30.0,0.7612411324745904
ETHUSDT,std,Stochastic,169.9610237578936,57,35.09,1.118776169370836
ETHUSDT,std,OBV,495.1237307965166,110,39.09,1.200045081550413
ETHUSDT,std,SuperTrend,0.0,0,0.0,0.0
ETHUSDT,std,RSI7,142.2086108991897,40,32.5,1.1401143565379492
ETHUSDT,std,KAMA,-261.9265884810097,54,31.48,0.7900097665059079
ETHUSDT,std,ELITE8,867.7571976048216,285,36.84,1.1333678924596895
ETHUSDT,std,ALL14,1205.7022184876887,467,37.04,1.1117367472358886
ETHUSDT,dual,MSS,-11.721986352121121,3,66.67,0.7214854849533331
ETHUSDT,dual,FVG,1490.7659027929237,224,91.96,3.729125928679501
ETHUSDT,dual,SFP,148.50166440813896,29,96.55,3.8923538795938355
ETHUSDT,dual,MicroBurst,901.1534523915735,160,88.12,2.493054575837665
ETHUSDT,dual,RSI,384.0942224277911,49,93.88,4.630627193019557
ETHUSDT,dual,MACD,516.3847605094031,108,89.81,2.3185790413704948
ETHUSDT,dual,Bollinger,600.7314156878753,162,87.04,1.9491493592205793
ETHUSDT,dual,EMA,293.80974129106505,48,91.67,3.0508652834366554
ETHUSDT,dual,ADX,-120.90195781560128,52,76.92,0.7056030179659234
ETHUSDT,dual,Stochastic,41.54320948592241,73,84.93,1.0980486557254037
ETHUSDT,dual,OBV,952.6684553885289,161,90.68,3.04832066895705
ETHUSDT,dual,SuperTrend,0.0,0,0.0,0.0
ETHUSDT,dual,RSI7,191.4540995442582,47,87.23,2.1169386637365433
ETHUSDT,dual,KAMA,163.8710196699488,65,86.15,1.650685782406067
ETHUSDT,dual,ELITE8,924.641353015077,376,86.7,1.5304832034460543
ETHUSDT,dual,ALL14,2365.30279326139,573,88.13,2.071823832366062
SOLUSDT,std,MSS,108.06559106395638,1,100.0,inf
SOLUSDT,std,FVG,1710.1444535014111,141,40.43,1.3362123820261655
SOLUSDT,std,SFP,464.12132342948587,34,44.12,1.3988558488746863
SOLUSDT,std,MicroBurst,2324.7618464170637,108,46.3,1.7046192002262388
SOLUSDT,std,RSI,-263.48366162747664,29,31.03,0.7920032062932345
SOLUSDT,std,MACD,543.2015992409675,88,36.36,1.1595644840978487
SOLUSDT,std,Bollinger,1171.121088697397,112,38.39,1.290162932001552
SOLUSDT,std,EMA,161.2748288581728,58,36.21,1.0712051318743847
SOLUSDT,std,ADX,12.038983311882667,40,32.5,1.008640109125563
SOLUSDT,std,Stochastic,162.71109441882598,72,34.72,1.0561604597941265
SOLUSDT,std,OBV,1468.6197891664804,126,41.27,1.3296748324782377
SOLUSDT,std,SuperTrend,0.0,0,0.0,0.0
SOLUSDT,std,RSI7,-607.4472799644044,30,26.67,0.5908904421984706
SOLUSDT,std,KAMA,517.8009820201415,51,43.14,1.3110474529529692
SOLUSDT,std,ELITE8,587.0247153416723,312,35.58,1.0492612151974388
SOLUSDT,std,ALL14,2640.8109464206013,478,38.08,1.1486266663655598
SOLUSDT,dual,MSS,49.31964076681344,1,100.0,inf
SOLUSDT,dual,FVG,2998.2382939266554,219,94.98,6.186449796234795
SOLUSDT,dual,SFP,233.08823513495315,45,91.11,1.9587916897574116
SOLUSDT,dual,MicroBurst,2128.196667760481,163,95.71,7.420228160729252
SOLUSDT,dual,RSI,420.68403855056823,40,97.5,11.84529445655735
SOLUSDT,dual,MACD,1103.6335113001287,116,92.24,3.3738208873394475
SOLUSDT,dual,Bollinger,1363.7350144398924,165,92.12,3.372033200390348
SOLUSDT,dual,EMA,909.31176112367,77,93.51,4.6465917215628565
SOLUSDT,dual,ADX,173.67519075501818,46,86.96,1.6219560990842945
SOLUSDT,dual,Stochastic,616.7998784833838,97,90.72,2.4000409802593183
SOLUSDT,dual,OBV,1833.3153183234294,181,94.48,4.56198689771951
SOLUSDT,dual,SuperTrend,0.0,0,0.0,0.0
SOLUSDT,dual,RSI7,444.2869720090753,41,97.56,12.453781444269076
SOLUSDT,dual,KAMA,330.0571570272376,63,90.48,2.252883175702079
SOLUSDT,dual,ELITE8,3543.2477248876016,433,91.92,2.9373435594177115
SOLUSDT,dual,ALL14,5548.456237556707,611,92.14,3.248042309168965
XLMUSDT,std,MSS,0.0,0,0.0,0.0
XLMUSDT,std,FVG,-768.8761821223939,126,31.75,0.8278819362573572
XLMUSDT,std,SFP,-151.93199186885428,26,30.77,0.7908939836837722
XLMUSDT,std,MicroBurst,-54.41140185613547,97,30.93,0.9823141503682026
XLMUSDT,std,RSI,-234.6153391523785,30,36.67,0.7828750668605068
XLMUSDT,std,MACD,-640.487714884807,89,31.46,0.7757880974984472
XLMUSDT,std,Bollinger,-1283.0122224683807,136,31.62,0.6911010705696035
XLMUSDT,std,EMA,-808.4184248447224,39,23.08,0.4338910787073705
XLMUSDT,std,ADX,-932.1627353253832,48,20.83,0.391869707596189
XLMUSDT,std,Stochastic,-888.7715243056339,57,29.82,0.5807063017872313
XLMUSDT,std,OBV,-1032.9286584177623,105,30.48,0.6804935093172944
XLMUSDT,std,SuperTrend,0.0,0,0.0,0.0
XLMUSDT,std,RSI7,-431.5424709570831,37,35.14,0.6815458801628751
XLMUSDT,std,KAMA,-452.8061278312206,54,31.48,0.6949334836550605
XLMUSDT,std,ELITE8,-3066.659388659451,284,30.28,0.6624068462801328
