symbol,exit,trigger,slip_per_side,cost_per_side,net,trades,win_pct,pf,delta_vs_base
XLMUSDT,dual,ALL14,0.0003,0.0013,4456.484965756297,2903,81.16,1.3586439120007918,0.0
XLMUSDT,dual,ALL14,0.001,0.002,-114.24900937093348,2857,78.3,0.9920601389951189,-4570.733975127231
XLMUSDT,dual,ALL14,0.003,0.004,-13368.444039183003,2805,68.24,0.3962027925866043,-17824.929004939302
