symbol,NOVA_EXT_MAX,NOVA_EMA_X,NOVA_EMA_PCT,net,trades,win_pct,pf
RENDERUSDT,-0.15,4,0.05,0.0,0,0.0,0.0
RENDERUSDT,-0.15,4,0.08,0.0,0,0.0,0.0
RENDERUSDT,-0.15,4,0.1,0.0,0,0.0,0.0
RENDERUSDT,-0.15,6,0.05,0.0,0,0.0,0.0
RENDERUSDT,-0.15,6,0.08,0.0,0,0.0,0.0
RENDERUSDT,-0.15,6,0.1,0.0,0,0.0,0.0
RENDERUSDT,-0.15,8,0.05,0.0,0,0.0,0.0
RENDERUSDT,-0.15,8,0.08,0.0,0,0.0,0.0
RENDERUSDT,-0.15,8,0.1,0.0,0,0.0,0.0
RENDERUSDT,0.1,4,0.05,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,4,0.08,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,4,0.1,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,6,0.05,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,6,0.08,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,6,0.1,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,8,0.05,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,8,0.08,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.1,8,0.1,-4.21163516513964,156,64.1,0.657545170204245
RENDERUSDT,0.5,4,0.05,-8.182439021003589,717,63.46,0.843601174412231
RENDERUSDT,0.5,4,0.08,-8.182439021003589,717,63.46,0.843601174412231
RENDERUSDT,0.5,4,0.1,-8.182439021003589,717,63.46,0.843601174412231
RENDERUSDT,0.5,6,0.05,-7.922476636037907,718,63.51,0.848570085466901
RENDERUSDT,0.5,6,0.08,-7.922476636037907,718,63.51,0.848570085466901
RENDERUSDT,0.5,6,0.1,-7.922476636037907,718,63.51,0.848570085466901
RENDERUSDT,0.5,8,0.05,-7.922476636037907,718,63.51,0.848570085466901
RENDERUSDT,0.5,8,0.08,-7.922476636037907,718,63.51,0.848570085466901
RENDERUSDT,0.5,8,0.1,-7.922476636037907,718,63.51,0.848570085466901
RENDERUSDT,1.0,4,0.05,-16.51682551282943,1120,63.39,0.800831545978009
RENDERUSDT,1.0,4,0.08,-16.51682551282943,1120,63.39,0.800831545978009
RENDERUSDT,1.0,4,0.1,-16.51682551282943,1120,63.39,0.800831545978009
RENDERUSDT,1.0,6,0.05,-16.25686312786375,1121,63.43,0.8039663073325608
RENDERUSDT,1.0,6,0.08,-16.25686312786375,1121,63.43,0.8039663073325608
RENDERUSDT,1.0,6,0.1,-16.25686312786375,1121,63.43,0.8039663073325608
RENDERUSDT,1.0,8,0.05,-16.25686312786375,1121,63.43,0.8039663073325608
RENDERUSDT,1.0,8,0.08,-16.25686312786375,1121,63.43,0.8039663073325608
RENDERUSDT,1.0,8,0.1,-16.25686312786375,1121,63.43,0.8039663073325608
