انزلاق للطرف%,الكلفة الكلية للطرف%,كاسرة النطاق,انحراف الدخول,التنقيط التعويضي,— الأعمدة العاملة —,سناب المؤشر القصير
0.0,0.1,1869.28,107.51,98.14,2074.93,115.58
0.03,0.13,1705.1,102.47,91.27,1898.85,107.15
0.1,0.2,1377.43,84.3,73.04,1534.77,86.84
0.15,0.25,1164.06,76.97,63.32,1304.35,73.62
0.2,0.3,949.33,65.61,51.17,1066.12,50.61
0.25,0.35,713.76,54.17,40.14,808.07,36.85
0.3,0.4,474.98,47.43,33.25,555.66,15.42
0.4,0.5,27.36,22.33,16.33,66.02,-19.74
0.5,0.6,-354.2,-2.04,-6.26,-362.5,-60.99
