symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
GRAMUSDT,MSS,3752.1110244360257,738,88.89,2.077708060946628,6.058861392573817
GRAMUSDT,FVG,3614.644839418582,661,89.26,2.147231168964671,-131.40732362487006
GRAMUSDT,SFP,3746.052163043452,738,88.89,2.075967791610137,0.0
GRAMUSDT,MicroBurst,3270.8374511865777,704,88.64,1.9255703621276297,-475.21471185687415
GRAMUSDT,RSI,3578.139579129723,732,88.8,2.027738742938689,-167.91258391372867
GRAMUSDT,MACD,3711.0289499995924,708,89.12,2.133023259786487,-35.023213043859414
GRAMUSDT,Bollinger,3391.1517932602396,680,88.53,2.029176416525373,-354.9003697832122
GRAMUSDT,EMA,3416.962909422137,723,88.52,1.9650456526367521,-329.08925362131504
GRAMUSDT,ADX,3708.938773702782,721,88.9,2.1073271250071723,-37.11338934066998
GRAMUSDT,Stochastic,3288.3127287228476,701,88.45,1.949363857081278,-457.73943432060423
GRAMUSDT,OBV,3223.257216341179,687,88.36,1.9447886858083427,-522.7949467022727
GRAMUSDT,SuperTrend,3746.052163043452,738,88.89,2.075967791610137,0.0
GRAMUSDT,RSI7,3746.052163043452,738,88.89,2.075967791610137,0.0
GRAMUSDT,KAMA,3734.612574902179,717,88.84,2.097790847471224,-11.439588141272907
