symbol,trigger,trig,lock,net,trades,pf,ratio_vs_base,is_base
GRAMUSDT,ALL14,0.002,0.0036,3879.721952868023,742,2.2779386285397627,1.0356828426318474,False
GRAMUSDT,ALL14,0.002,0.0045,4086.4181188851294,742,2.3460221196077495,1.0908599082520916,False
GRAMUSDT,ALL14,0.002,0.005399999999999999,4321.058221259606,742,2.423310042369115,1.1534965433447129,False
GRAMUSDT,ALL14,0.0025,0.0036,3559.5915612491804,738,2.0224112490947492,0.9502247716586031,False
GRAMUSDT,ALL14,0.0025,0.0045,3746.052163043452,738,2.075967791610137,1.0,True
GRAMUSDT,ALL14,0.0025,0.005399999999999999,3960.0191754179154,738,2.13742492134613,1.057118001314917,False
GRAMUSDT,ALL14,0.003,0.0036,3600.4942016177943,732,2.023150012708156,0.9611436373306131,False
GRAMUSDT,ALL14,0.003,0.0045,3768.1557587843877,732,2.0707942845052347,1.0059005039916418,False
GRAMUSDT,ALL14,0.003,0.005399999999999999,3963.9512213783196,732,2.1264333492622782,1.0581676519308896,False
