NOVA_ZP,NOVA_ZTH,NOVA_WICK,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
20,-1.5,0.5,LINKUSDT,F_015,2026-06-11T12:30:00+00:00,2026-06-11T15:00:00+00:00,7.776096,7.719191,1000.0,-7.318,,stop,30
20,-1.5,0.5,LINKUSDT,F_015,2026-06-11T20:35:00+00:00,2026-06-12T01:25:00+00:00,7.904262,7.852469,1000.0,-6.5525,,stop,58
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T01:40:00+00:00,2026-06-12T02:10:00+00:00,7.874223,7.922482,1000.0,6.1287,,tp,6
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T05:30:00+00:00,2026-06-12T05:35:00+00:00,7.881232,7.846019,1000.0,-4.468,,stop,1
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T05:45:00+00:00,2026-06-12T06:00:00+00:00,7.861206,7.823308,1000.0,-4.8209,,stop,3
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T06:40:00+00:00,2026-06-12T08:15:00+00:00,7.78711,7.850891,1000.0,8.1905,,tp,19
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T13:40:00+00:00,2026-06-12T13:40:00+00:00,7.868215,7.816184,1000.0,-6.6129,,stop,0
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T14:00:00+00:00,2026-06-12T14:35:00+00:00,7.822156,7.912998,1000.0,11.6135,,tp,7
20,-1.5,0.5,LINKUSDT,F_015,2026-06-12T16:05:00+00:00,2026-06-13T12:15:00+00:00,7.845186,7.984506,1000.0,17.7588,,tp,242
20,-1.5,0.5,LINKUSDT,F_015,2026-06-13T16:30:00+00:00,2026-06-14T04:30:00+00:00,7.981362,7.929754,1000.0,-6.466,,stop,144
20,-1.5,0.5,LINKUSDT,F_015,2026-06-13T19:25:00+00:00,2026-06-13T21:10:00+00:00,7.984366,7.948876,1000.0,-4.4449,,stop,21
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T02:50:00+00:00,2026-06-14T04:10:00+00:00,7.971349,7.938587,1000.0,-4.11,,stop,16
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T05:00:00+00:00,2026-06-14T05:15:00+00:00,7.929295,7.897871,1000.0,-3.963,,stop,3
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T09:25:00+00:00,2026-06-14T10:20:00+00:00,7.90226,7.937927,1000.0,4.5136,,tp,11
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T12:45:00+00:00,2026-06-14T12:45:00+00:00,7.915277,7.886297,1000.0,-3.6613,,stop,0
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T14:45:00+00:00,2026-06-14T21:15:00+00:00,7.814145,7.871042,1000.0,7.2813,,tp,78
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T18:00:00+00:00,2026-06-14T18:20:00+00:00,7.827162,7.79259,1000.0,-4.4169,,stop,4
20,-1.5,0.5,LINKUSDT,F_015,2026-06-14T18:35:00+00:00,2026-06-14T20:35:00+00:00,7.811141,7.852919,1000.0,5.3485,,tp,24
20,-1.5,0.5,LINKUSDT,F_015,2026-06-15T09:45:00+00:00,2026-06-15T10:50:00+00:00,8.195641,8.244052,1000.0,5.907,,tp,13
20,-1.5,0.5,LINKUSDT,F_015,2026-06-15T19:25:00+00:00,2026-06-15T21:05:00+00:00,8.424938,8.351353,1000.0,-8.7342,,stop,20
20,-1.5,0.5,LINKUSDT,F_015,2026-06-15T22:35:00+00:00,2026-06-15T22:45:00+00:00,8.31079,8.255187,1000.0,-6.6904,,stop,2
20,-1.5,0.5,LINKUSDT,F_015,2026-06-15T22:55:00+00:00,2026-06-16T02:10:00+00:00,8.27975,8.221191,1000.0,-7.0725,,stop,39
20,-1.5,0.5,LINKUSDT,F_015,2026-06-16T02:25:00+00:00,2026-06-16T02:25:00+00:00,8.230686,8.188598,1000.0,-5.1135,,stop,0
20,-1.5,0.5,LINKUSDT,F_015,2026-06-16T02:40:00+00:00,2026-06-16T07:30:00+00:00,8.189633,8.268869,1000.0,9.6752,,tp,58
20,-1.5,0.5,LINKUSDT,F_015,2026-06-16T11:40:00+00:00,2026-06-16T12:15:00+00:00,8.317799,8.380319,1000.0,7.5164,,tp,7
20,-1.5,0.5,LINKUSDT,F_015,2026-06-17T05:25:00+00:00,2026-06-17T07:50:00+00:00,8.330816,8.280181,1000.0,-6.0781,,stop,29
20,-1.5,0.5,LINKUSDT,F_015,2026-06-17T08:55:00+00:00,2026-06-17T11:05:00+00:00,8.183625,8.11763,1000.0,-8.0643,,stop,26
20,-1.5,0.5,LINKUSDT,F_015,2026-06-17T11:10:00+00:00,2026-06-17T12:20:00+00:00,8.160595,8.105045,1000.0,-6.8071,,stop,14
20,-1.5,0.5,LINKUSDT,F_015,2026-06-17T12:35:00+00:00,2026-06-17T13:45:00+00:00,8.130556,8.209299,1000.0,9.6848,,tp,14
20,-1.5,0.5,LINKUSDT,F_015,2026-06-17T18:10:00+00:00,2026-06-17T19:20:00+00:00,8.219672,8.125095,1000.0,-11.5061,,stop,14
20,-1.5,0.5,LINKUSDT,F_015,2026-06-17T19:50:00+00:00,2026-06-18T04:20:00+00:00,8.048449,7.921139,1000.0,-15.8181,,stop,102
20,-1.5,0.5,LINKUSDT,F_015,2026-06-18T15:35:00+00:00,2026-06-18T15:40:00+00:00,7.945316,7.846388,1000.0,-12.4511,,stop,1
20,-1.5,0.5,LINKUSDT,F_015,2026-07-01T17:10:00+00:00,2026-07-01T21:30:00+00:00,7.375576,7.441603,1000.0,8.9522,,tp,52
20,-1.5,0.5,LINKUSDT,F_015,2026-07-01T23:10:00+00:00,2026-07-01T23:30:00+00:00,7.445667,7.395611,1000.0,-6.7228,,stop,4
20,-1.5,0.5,LINKUSDT,F_015,2026-07-01T23:45:00+00:00,2026-07-01T23:45:00+00:00,7.405615,7.363744,1000.0,-5.654,,stop,0
20,-1.5,0.5,LINKUSDT,F_015,2026-07-01T23:55:00+00:00,2026-07-02T00:15:00+00:00,7.374575,7.327893,1000.0,-6.3301,,stop,4
20,-1.5,0.5,LINKUSDT,F_015,2026-07-02T07:10:00+00:00,2026-07-02T09:25:00+00:00,7.453677,7.499059,1000.0,6.0885,,tp,27
