NOVA_DON_ENTRY1,NOVA_DON_EXIT1,NOVA_DON_MACRO,NOVA_DON_CHOP,net,trades,win_pct
48,24,1,1,-734.0659621491175,622,28.778135048231512
48,24,1,0,-734.0659621491175,622,28.778135048231512
48,24,0,1,-734.0659621491175,622,28.778135048231512
48,24,0,0,-734.0659621491175,622,28.778135048231512
48,48,1,1,-376.0008060433676,516,31.2015503875969
48,48,1,0,-376.0008060433676,516,31.2015503875969
48,48,0,1,-376.0008060433676,516,31.2015503875969
48,48,0,0,-376.0008060433676,516,31.2015503875969
48,96,1,1,229.78985952687128,402,31.34328358208955
48,96,1,0,229.78985952687128,402,31.34328358208955
48,96,0,1,229.78985952687128,402,31.34328358208955
48,96,0,0,229.78985952687128,402,31.34328358208955
48,192,1,1,558.2009015892517,334,31.736526946107784
48,192,1,0,558.2009015892517,334,31.736526946107784
48,192,0,1,558.2009015892517,334,31.736526946107784
48,192,0,0,558.2009015892517,334,31.736526946107784
96,24,1,1,-359.5216802025203,397,30.730478589420656
96,24,1,0,-359.5216802025203,397,30.730478589420656
96,24,0,1,-359.5216802025203,397,30.730478589420656
96,24,0,0,-359.5216802025203,397,30.730478589420656
96,48,1,1,-256.46773008354535,338,32.544378698224854
96,48,1,0,-256.46773008354535,338,32.544378698224854
96,48,0,1,-256.46773008354535,338,32.544378698224854
96,48,0,0,-256.46773008354535,338,32.544378698224854
96,96,1,1,170.11024434251837,269,33.45724907063197
96,96,1,0,170.11024434251837,269,33.45724907063197
96,96,0,1,170.11024434251837,269,33.45724907063197
96,96,0,0,170.11024434251837,269,33.45724907063197
96,192,1,1,541.8342636460892,218,33.944954128440365
96,192,1,0,541.8342636460892,218,33.944954128440365
96,192,0,1,541.8342636460892,218,33.944954128440365
96,192,0,0,541.8342636460892,218,33.944954128440365
192,24,1,1,-31.958287805086094,253,31.620553359683793
192,24,1,0,-31.958287805086094,253,31.620553359683793
192,24,0,1,-31.958287805086094,253,31.620553359683793
192,24,0,0,-31.958287805086094,253,31.620553359683793
192,48,1,1,79.29731689242769,218,34.403669724770644
192,48,1,0,79.29731689242769,218,34.403669724770644
192,48,0,1,79.29731689242769,218,34.403669724770644
192,48,0,0,79.29731689242769,218,34.403669724770644
192,96,1,1,671.1779995929722,168,39.285714285714285
192,96,1,0,671.1779995929722,168,39.285714285714285
192,96,0,1,671.1779995929722,168,39.285714285714285
192,96,0,0,671.1779995929722,168,39.285714285714285
192,192,1,1,1023.7067164665756,133,40.6015037593985
192,192,1,0,1023.7067164665756,133,40.6015037593985
192,192,0,1,1023.7067164665756,133,40.6015037593985
192,192,0,0,1023.7067164665756,133,40.6015037593985
288,24,1,1,146.27088178221055,194,32.98969072164948
288,24,1,0,146.27088178221055,194,32.98969072164948
288,24,0,1,146.27088178221055,194,32.98969072164948
288,24,0,0,146.27088178221055,194,32.98969072164948
288,48,1,1,223.3830589556291,167,35.32934131736527
288,48,1,0,223.3830589556291,167,35.32934131736527
288,48,0,1,223.3830589556291,167,35.32934131736527
288,48,0,0,223.3830589556291,167,35.32934131736527
288,96,1,1,875.2557563266173,125,42.4
288,96,1,0,875.2557563266173,125,42.4
288,96,0,1,875.2557563266173,125,42.4
288,96,0,0,875.2557563266173,125,42.4
288,192,1,1,1105.2300270944584,101,43.56435643564357
288,192,1,0,1105.2300270944584,101,43.56435643564357
288,192,0,1,1105.2300270944584,101,43.56435643564357
288,192,0,0,1105.2300270944584,101,43.56435643564357
576,24,1,1,396.59672584611604,134,34.32835820895522
576,24,1,0,396.59672584611604,134,34.32835820895522
576,24,0,1,396.59672584611604,134,34.32835820895522
576,24,0,0,396.59672584611604,134,34.32835820895522
576,48,1,1,379.74402079021434,114,37.719298245614034
576,48,1,0,379.74402079021434,114,37.719298245614034
576,48,0,1,379.74402079021434,114,37.719298245614034
576,48,0,0,379.74402079021434,114,37.719298245614034
576,96,1,1,822.5418580113775,84,40.476190476190474
576,96,1,0,822.5418580113775,84,40.476190476190474
576,96,0,1,822.5418580113775,84,40.476190476190474
576,96,0,0,822.5418580113775,84,40.476190476190474
576,192,1,1,1018.4570026114146,67,41.791044776119406
576,192,1,0,1018.4570026114146,67,41.791044776119406
576,192,0,1,1018.4570026114146,67,41.791044776119406
576,192,0,0,1018.4570026114146,67,41.791044776119406
