symbol,NOVA_LOOKBACK,NOVA_WICK_RATIO,net,trades,win_pct,pf
RENDERUSDT,10,0.5,-4.682472653024009,551,66.79,0.8689544267086239
RENDERUSDT,10,0.6,-3.0129188853265076,346,67.05,0.868221666934529
RENDERUSDT,10,0.7,-2.3067976850733007,185,65.95,0.8193933140769825
RENDERUSDT,20,0.5,-2.0410229538459683,358,67.04,0.911665575526896
RENDERUSDT,20,0.6,-0.2419253025990189,225,68.44,0.9831279144652176
RENDERUSDT,20,0.7,-0.4694549877457678,123,67.48,0.9428073873091304
RENDERUSDT,55,0.5,1.3863456343104164,208,70.19,1.1103251016439746
RENDERUSDT,55,0.6,1.4173921662690345,128,71.88,1.1810266123058406
RENDERUSDT,55,0.7,0.9945558725888326,72,72.22,1.2269821922781754
