symbol,NOVA_EPS,NOVA_FVG_MIN,NOVA_MSS_WINDOW,net,trades,win_pct,pf
ETHUSDT,2.0,0.1,8,-57.52135199622388,41,43.9,0.4998841379278728
ETHUSDT,2.0,0.1,12,-203.64786956658628,94,38.3,0.36334512473886255
ETHUSDT,2.0,0.1,20,-434.9404207265218,206,35.92,0.3696268436469706
ETHUSDT,2.0,0.2,8,-60.7155019962239,40,42.5,0.4721127969318795
ETHUSDT,2.0,0.2,12,-204.14750420308144,89,37.08,0.34313123076231405
ETHUSDT,2.0,0.2,20,-437.37250314113294,199,35.68,0.35143321360572943
ETHUSDT,2.0,0.3,8,-57.21251319631402,39,43.59,0.4869433987693974
ETHUSDT,2.0,0.3,12,-196.66329492078563,86,37.21,0.3446970824812137
ETHUSDT,2.0,0.3,20,-427.73121249996416,194,36.08,0.353423517328441
ETHUSDT,2.8,0.1,8,-67.9806852432733,33,36.36,0.36054580987274004
ETHUSDT,2.8,0.1,12,-158.35818691693743,70,37.14,0.347354693535906
ETHUSDT,2.8,0.1,20,-383.2233332902425,167,34.73,0.3372670449372706
ETHUSDT,2.8,0.2,8,-67.9806852432733,33,36.36,0.36054580987274004
ETHUSDT,2.8,0.2,12,-162.88336561526603,66,34.85,0.3144155717534064
ETHUSDT,2.8,0.2,20,-380.3384407668982,162,34.57,0.3286344279277426
ETHUSDT,2.8,0.3,8,-68.10239795844504,33,36.36,0.3601335003432447
ETHUSDT,2.8,0.3,12,-155.82970784805187,65,35.38,0.32403594184413725
ETHUSDT,2.8,0.3,20,-373.0606831277272,158,34.81,0.32907914080990336
ETHUSDT,3.5,0.1,8,-56.87609383405165,32,37.5,0.40259902466553743
ETHUSDT,3.5,0.1,12,-111.61377728385814,60,38.33,0.40093611014133673
ETHUSDT,3.5,0.1,20,-272.4154535965965,140,36.43,0.37947871533339134
ETHUSDT,3.5,0.2,8,-56.87609383405165,32,37.5,0.40259902466553743
ETHUSDT,3.5,0.2,12,-118.00207728385824,58,36.21,0.3666482297316337
ETHUSDT,3.5,0.2,20,-274.2768220943923,136,36.03,0.365136086777442
ETHUSDT,3.5,0.3,8,-56.99780654922339,32,37.5,0.4020849928735798
ETHUSDT,3.5,0.3,12,-110.9484195166441,57,36.84,0.381075381960861
ETHUSDT,3.5,0.3,20,-270.4788240205273,133,36.09,0.36362781505452707
