NOVA_R,NOVA_CAP,NOVA_HALVE,symbol,net,trades,win_pct,gross,costs,risk_total
0.2,12.0,1.3,SOLUSDT,-21.99,687,20.52,-2.1,19.89,35.25
0.2,12.0,1.5,SOLUSDT,-22.7,687,20.52,-2.08,20.63,36.98
0.2,12.0,2.0,SOLUSDT,-23.19,687,20.52,-1.88,21.31,38.8
0.2,25.0,1.3,SOLUSDT,-43.35,687,20.52,-2.83,40.51,69.0
0.2,25.0,1.5,SOLUSDT,-44.8,687,20.52,-2.83,41.97,72.3
0.2,25.0,2.0,SOLUSDT,-45.74,687,20.52,-2.45,43.29,75.58
1.0,12.0,1.3,SOLUSDT,-22.1,687,20.52,-2.19,19.91,35.35
1.0,12.0,1.5,SOLUSDT,-22.81,687,20.52,-2.17,20.64,37.08
1.0,12.0,2.0,SOLUSDT,-23.3,687,20.52,-1.97,21.33,38.9
1.0,25.0,1.3,SOLUSDT,-46.04,687,20.52,-4.56,41.48,73.64
1.0,25.0,1.5,SOLUSDT,-47.52,687,20.52,-4.52,43.0,77.25
1.0,25.0,2.0,SOLUSDT,-48.54,687,20.52,-4.11,44.43,81.05
2.0,12.0,1.3,SOLUSDT,-22.1,687,20.52,-2.19,19.91,35.35
2.0,12.0,1.5,SOLUSDT,-22.81,687,20.52,-2.17,20.64,37.08
2.0,12.0,2.0,SOLUSDT,-23.3,687,20.52,-1.97,21.33,38.9
2.0,25.0,1.3,SOLUSDT,-46.04,687,20.52,-4.56,41.48,73.64
2.0,25.0,1.5,SOLUSDT,-47.52,687,20.52,-4.52,43.0,77.25
2.0,25.0,2.0,SOLUSDT,-48.54,687,20.52,-4.11,44.43,81.05
