symbol,NOVA_LENGTH,NOVA_BB_MULT,NOVA_KC_MULT,NOVA_MOM_P,net,trades,win_pct,pf
LINKUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
LINKUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
LINKUSDT,12,2.5,1.5,8,0.3008234749235678,8,87.5,2.7733003814099
LINKUSDT,12,2.5,1.5,12,0.006188661085011787,7,71.43,1.018390759921347
LINKUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
LINKUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
LINKUSDT,20,2.0,1.5,8,0.02479455257901117,5,80.0,1.1074578611150747
LINKUSDT,20,2.0,1.5,12,-0.04493172067406562,3,66.67,0.8052690572064508
LINKUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
LINKUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
LINKUSDT,20,2.5,1.5,8,-0.16685444742098587,2,50.0,0.27686446527877273
LINKUSDT,20,2.5,1.5,12,-0.23073744742098615,1,0.0,0.0
GRAMUSDT,12,2.0,1.0,8,0.0,0,0.0,0.0
GRAMUSDT,12,2.0,1.0,12,0.0,0,0.0,0.0
GRAMUSDT,12,2.0,1.5,8,-0.16747941416794557,1,0.0,0.0
GRAMUSDT,12,2.0,1.5,12,-0.16747941416794557,1,0.0,0.0
GRAMUSDT,12,2.5,1.0,8,0.06388299999999981,1,100.0,inf
GRAMUSDT,12,2.5,1.0,12,0.06388299999999981,1,100.0,inf
GRAMUSDT,12,2.5,1.5,8,0.0,0,0.0,0.0
GRAMUSDT,12,2.5,1.5,12,0.0,0,0.0,0.0
GRAMUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
GRAMUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
GRAMUSDT,20,2.0,1.5,8,0.0,0,0.0,0.0
GRAMUSDT,20,2.0,1.5,12,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
GRAMUSDT,20,2.5,1.5,12,0.0,0,0.0,0.0
RENDERUSDT,12,2.0,1.0,8,-0.22780652707749435,1,0.0,0.0
RENDERUSDT,12,2.0,1.0,12,0.0,0,0.0,0.0
RENDERUSDT,12,2.0,1.5,8,-0.4122516469518338,3,0.0,0.0
RENDERUSDT,12,2.0,1.5,12,-0.2943428218526998,2,0.0,0.0
RENDERUSDT,12,2.5,1.0,8,-0.22780652707749435,1,0.0,0.0
RENDERUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
RENDERUSDT,12,2.5,1.5,8,-0.16392352707749538,2,50.0,0.28042655677845213
RENDERUSDT,12,2.5,1.5,12,-0.04816792466109428,4,75.0,0.7991471005261
RENDERUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
RENDERUSDT,20,2.0,1.0,12,0.0,0,0.0,0.0
RENDERUSDT,20,2.0,1.5,8,0.0,0,0.0,0.0
RENDERUSDT,20,2.0,1.5,12,0.0,0,0.0,0.0
RENDERUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
RENDERUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
RENDERUSDT,20,2.5,1.5,8,0.0,0,0.0,0.0
RENDERUSDT,20,2.5,1.5,12,0.06388300000000025,1,100.0,inf
FILUSDT,12,2.0,1.0,8,0.0,0,0.0,0.0
FILUSDT,12,2.0,1.0,12,0.0,0,0.0,0.0
FILUSDT,12,2.0,1.5,8,0.6021446559716184,10,70.0,2.809006403486341
FILUSDT,12,2.0,1.5,12,-0.04773820074059021,9,55.56,0.9433224050435316
FILUSDT,12,2.5,1.0,8,0.0,0,0.0,0.0
FILUSDT,12,2.5,1.0,12,0.0,0,0.0,0.0
FILUSDT,12,2.5,1.5,8,0.24907129810355322,11,54.55,1.4057008365458326
FILUSDT,12,2.5,1.5,12,-0.23298851779710153,9,55.56,0.76875413633298
FILUSDT,20,2.0,1.0,8,0.0,0,0.0,0.0
FILUSDT,20,2.0,1.0,12,-0.12320971508689436,1,0.0,0.0
FILUSDT,20,2.0,1.5,8,0.06388300000000088,1,100.0,inf
FILUSDT,20,2.0,1.5,12,-0.18288612661761183,2,50.0,0.25887760302767293
FILUSDT,20,2.5,1.0,8,0.0,0,0.0,0.0
FILUSDT,20,2.5,1.0,12,0.0,0,0.0,0.0
FILUSDT,20,2.5,1.5,8,0.42729015533943293,5,60.0,2.981190187707995
FILUSDT,20,2.5,1.5,12,0.41071685252379225,2,50.0,4.931028223556494
