symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
XLMUSDT,5,100,3,-1.0452160169017106,101,79.21,0.884610128009944
XLMUSDT,5,100,5,-0.9813330169017104,102,79.41,0.8916626904211015
XLMUSDT,5,100,10,-0.9813330169017104,102,79.41,0.8916626904211015
XLMUSDT,5,200,3,0.6402898965562608,125,79.2,1.0621117915701397
XLMUSDT,5,200,5,0.7041728965562609,126,79.37,1.0683088088934118
XLMUSDT,5,200,10,0.7041728965562609,126,79.37,1.0683088088934118
XLMUSDT,10,100,3,6.4774667228595,226,81.86,1.3790741988670034
XLMUSDT,10,100,5,6.620406691289805,228,82.02,1.3874393293010308
XLMUSDT,10,100,10,6.620406691289805,228,82.02,1.3874393293010308
XLMUSDT,10,200,3,11.633944646848594,272,83.09,1.6410890562635974
XLMUSDT,10,200,5,11.776884615278899,274,83.21,1.6489657698156217
XLMUSDT,10,200,10,11.776884615278899,274,83.21,1.6489657698156217
XLMUSDT,15,100,3,14.432078421457291,399,83.21,1.5657338613221221
XLMUSDT,15,100,5,14.715919715252266,403,83.37,1.577005238717875
XLMUSDT,15,100,10,13.413435846304523,396,83.33,1.5308796128852462
XLMUSDT,15,200,3,16.945505074033868,434,82.95,1.6086170522343972
XLMUSDT,15,200,5,17.2868244345377,439,83.14,1.62087592455203
XLMUSDT,15,200,10,16.112106565589965,434,83.18,1.5836638421281755
