symbol,driver,pnl,never_traded,above_bar_high,at_lock
ATOMUSDT,F_213_breakers,0.43637710063908064,False,True,False
ATOMUSDT,F_213_breakers,0.29786475714924565,False,False,False
ATOMUSDT,F_213_breakers,-1.5458303381915395,False,False,False
ATOMUSDT,F_213_breakers,0.09384400000000212,False,False,True
ATOMUSDT,F_213_breakers,0.18660238033606105,False,True,False
ATOMUSDT,F_213_breakers,1.6915829572837537,False,False,False
ATOMUSDT,F_213_breakers,0.09384399999999973,False,False,True
ATOMUSDT,F_213_breakers,0.09384400000000084,False,True,True
ATOMUSDT,F_213_breakers,0.35900334012871676,False,False,False
ATOMUSDT,F_213_breakers,0.17157301589192114,False,True,False
ATOMUSDT,F_213_breakers,-1.2465045428850983,False,False,False
ATOMUSDT,F_213_breakers,0.507247921537202,False,False,False
ATOMUSDT,F_213_breakers,0.09384400000000025,False,False,True
ATOMUSDT,F_213_breakers,0.09384399999999972,True,True,True
ATOMUSDT,F_213_breakers,0.1844699531830517,False,False,False
ATOMUSDT,F_213_breakers,0.09384400000000069,False,False,True
ATOMUSDT,F_213_breakers,-1.7977033645734233,False,False,False
ATOMUSDT,F_213_breakers,0.45229981096845745,False,True,False
ATOMUSDT,F_213_breakers,0.35176562063428546,False,True,False
ATOMUSDT,F_213_breakers,0.41662805461031216,False,False,False
ATOMUSDT,F_213_breakers,0.6359716573911376,False,False,False
ATOMUSDT,F_213_breakers,0.09384400000000222,False,True,True
ATOMUSDT,F_213_breakers,0.2148570588871979,False,True,False
ATOMUSDT,F_213_breakers,0.4627981115898473,False,False,False
ATOMUSDT,F_213_breakers,0.09384400000000158,True,True,True
ATOMUSDT,F_213_breakers,0.6688046963629511,False,False,False
ATOMUSDT,F_213_breakers,0.1881053555613716,False,True,False
ATOMUSDT,F_213_breakers,0.09384400000000163,False,False,True
ATOMUSDT,F_213_breakers,0.09384399999999951,False,False,True
ATOMUSDT,F_213_breakers,0.2758858520856689,False,False,False
ATOMUSDT,F_213_breakers,0.09384399999999896,False,False,True
ATOMUSDT,F_213_breakers,0.11271859257632103,False,False,False
ATOMUSDT,F_213_breakers,0.26499078134160386,False,True,False
ATOMUSDT,F_213_breakers,1.0406137876827448,False,True,False
ATOMUSDT,F_213_breakers,0.3195272714020762,False,True,False
ATOMUSDT,F_213_breakers,0.09384400000000266,True,True,True
