الرمز,الاسم,صافي_القرار$,صفقات_القرار,PF_القرار,بوابة_القبول,صافي_الحكم$,صفقات_الحكم,PF_الحكم,هبوط_الحكم$
F-046,المشي على الحد العلوي (ركوب الزخم),-31.89,969,0.4296,✗,-31.39,1328,0.4375,34.83
F-007,إطلاق TTM Squeeze مع انعكاس الزخم,0.38,12,1.8163,✗,1.36,15,16.4601,0.05
F-054,دايفرجنس RSI الصاعد الميكانيكي,-13.82,141,0.2033,✗,-9.94,161,0.1623,10.04
F-032,انقلاب SAR مفلتر بـ EMA200 و ADX,-7.14,577,0.628,✗,-29.35,788,0.3108,29.65
F-009,ترند ADX قوي مع شراء ملامسة EMA21,-36.64,1640,0.4739,✗,-109.52,2033,0.2284,111.72
F-074,قاع مزدوج ميكانيكي + كسر العنق,0.33,77,1.2687,✗,-3.2,103,0.24,3.34
F-069,نجمة الصباح ثلاثية الشموع,-4.74,129,0.2617,✗,-12.81,261,0.2077,13.44
F-013,إيشيموكو محاذاة كاملة مع ADX,-12.06,481,0.4257,✗,-20.73,614,0.3093,21.6
F-067,ابتلاع صاعد على متوسط متحرك رئيسي,-10.75,222,0.2928,✗,-5.72,296,0.4581,6.08
F-130,فجوة القيمة العادلة الصاعدة الصالحة,-410.0,11906,0.3482,✗,-729.92,17824,0.2812,730.01
