الفرضية,صافي_قرار$,صفقات_قرار,PF_قرار,صافي_حكم$,صفقات_حكم,PF_حكم,ربح_صفقة_حكم$,بوابة_القرار,إجمالي_المحفظة_حكم$,الفرق_عن_الأساس$
F-001: RSI2_Snap (os=5),145.18,651,6.5855,135.53,884,2.9349,0.15331,True,3443.22,135.53
F-001: RSI2_Snap (os=10),269.87,1406,4.8885,301.75,1936,2.9762,0.15586,True,3609.44,301.75
F-001: RSI2_Snap (os=15),386.96,2135,3.7353,505.52,2967,3.4152,0.17038,True,3813.21,505.52
F-008: Turtle_Soup (lb=20),61.59,323,3.3672,88.39,558,3.014,0.15841,True,3396.08,88.39
F-008: Turtle_Soup (lb=55),63.89,259,4.2675,68.87,451,2.5887,0.15271,True,3376.56,68.87
F-015: Zscore_Dip (th=-2.0),0.0,0,0.0,0.0,0,0.0,0.0,False,3307.69,0.0
F-015: Zscore_Extreme (th=-2.5),0.0,0,0.0,0.0,0,0.0,0.0,False,3307.69,0.0
F-042: Donchian_High_20,488.13,1804,3.9776,729.01,2929,4.236,0.24889,True,4036.7,729.01
F-055: MACD_Cross_Zero,452.02,2103,4.3846,525.07,3149,3.3095,0.16674,True,3832.76,525.07
F-063: BB_Lower_Bounce,431.97,2505,3.1478,579.17,3666,3.0626,0.15798,True,3886.86,579.17
