symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
GRAMUSDT,8,20,1.0,1.8946492943644824,34,88.24,2.3936218183966806
GRAMUSDT,8,20,1.2,1.24994034448288,19,89.47,3.3565525888736585
GRAMUSDT,8,20,1.5,0.6526067606827382,12,83.33,2.2303804403078242
GRAMUSDT,8,21,1.0,1.8526407205258013,30,90.0,2.650130877067816
GRAMUSDT,8,21,1.2,1.4228485016442116,17,94.12,5.845894234161224
GRAMUSDT,8,21,1.5,0.8255149178440697,10,90.0,3.811513647427629
GRAMUSDT,9,20,1.0,0.7137904731014928,33,84.85,1.3043843649165854
GRAMUSDT,9,20,1.2,1.1184798811482377,18,88.89,3.108705964374192
GRAMUSDT,9,20,1.5,0.6526067606827382,12,83.33,2.2303804403078242
GRAMUSDT,9,21,1.0,1.848946257191157,31,90.32,2.6468402509063864
GRAMUSDT,9,21,1.2,1.3552710383095676,17,94.12,5.615740960953168
GRAMUSDT,9,21,1.5,0.8893979178440683,11,90.91,4.029084429561625
