symbol,NOVA_DISP_MIN,net,trades,win_pct,pf
BTCUSDT,1.0,487.97845348493547,71,46.48,1.4172027506740037
BTCUSDT,1.5,175.53050131258644,60,41.67,1.1683402497287938
BTCUSDT,1.6,162.85247457291686,58,41.38,1.1609896478489479
BTCUSDT,2.0,187.39259911938635,43,41.86,1.2775994567842055
ETHUSDT,1.0,-42.66771639311989,79,35.44,0.9747195164875797
ETHUSDT,1.5,265.4748128634665,54,40.74,1.2707972945916446
ETHUSDT,1.6,394.42666353962176,50,44.0,1.4596894569468453
ETHUSDT,2.0,368.52303694826026,35,45.71,1.6649597953560402
SOLUSDT,1.0,2623.480563967445,74,52.7,2.4039250710701534
SOLUSDT,1.5,1874.7782235426098,53,50.94,2.489743622188715
SOLUSDT,1.6,1580.2985359486368,49,51.02,2.265597003740237
SOLUSDT,2.0,857.3086982323825,34,47.06,1.9109789986509436
XLMUSDT,1.0,280.5660474994483,60,35.0,1.1594832556294463
XLMUSDT,1.5,-45.45055535926102,38,31.58,0.9640132815322927
XLMUSDT,1.6,-64.11834429729933,36,30.56,0.9481428685905755
XLMUSDT,2.0,-534.0909268930745,24,20.83,0.4928730338688882
LINKUSDT,1.0,871.6858031432469,69,42.03,1.4295153683756143
LINKUSDT,1.5,418.0562811348918,50,38.0,1.2659284165802118
LINKUSDT,1.6,542.6728005884493,47,40.43,1.374917295962415
LINKUSDT,2.0,601.3856776938712,33,45.45,1.6554841858907257
GRAMUSDT,1.0,-321.9680885902082,15,20.0,0.428836258787522
GRAMUSDT,1.5,-256.6852001157639,8,12.5,0.21277047712249814
GRAMUSDT,1.6,-259.0343137757891,8,12.5,0.21124853450314976
GRAMUSDT,2.0,-142.12555614816517,5,20.0,0.3280172946516224
RENDERUSDT,1.0,134.87581027142346,18,38.89,1.1617333583862743
RENDERUSDT,1.5,-4.270391530573235,12,33.33,0.9928845107118772
RENDERUSDT,1.6,-4.270391530573235,12,33.33,0.9928845107118772
RENDERUSDT,2.0,-33.00138844275861,8,37.5,0.9270687538819422
FILUSDT,1.0,-80.03385410395563,60,33.33,0.9639082707400507
FILUSDT,1.5,-282.9756764554583,50,30.0,0.8467089228082637
FILUSDT,1.6,88.08186917257541,42,33.33,1.0623255649165626
FILUSDT,2.0,152.62674361602,29,37.93,1.1582506383431588
