symbol,NOVA_LOOKBACK,NOVA_WICK_RATIO,net,trades,win_pct,pf
BTCUSDT,10,0.5,-69.03463918189938,1897,31.84,0.3705464799541579
BTCUSDT,10,0.6,-47.10648904897319,1268,30.99,0.36173741565877
BTCUSDT,10,0.7,-27.528198345780005,736,30.71,0.3564147375940928
BTCUSDT,20,0.5,-43.30249582238509,1258,33.7,0.40052634283391203
BTCUSDT,20,0.6,-29.63162103123935,850,32.82,0.3948460134407575
BTCUSDT,20,0.7,-17.0696065153892,486,32.72,0.38888493090441056
BTCUSDT,55,0.5,-21.95274112167636,663,37.71,0.43717136598758277
BTCUSDT,55,0.6,-13.699878636768153,441,38.32,0.4583399141481695
BTCUSDT,55,0.7,-6.7656951652155035,259,40.15,0.5206538968058138
ETHUSDT,10,0.5,-63.545422824620786,1897,39.8,0.44390700529347527
ETHUSDT,10,0.6,-44.38612874851067,1265,38.18,0.4244675652667346
ETHUSDT,10,0.7,-23.346433964751103,723,39.14,0.45201750262022466
ETHUSDT,20,0.5,-42.45273382053908,1263,40.86,0.4499001166852232
ETHUSDT,20,0.6,-29.82444545780221,839,38.97,0.4249066123778645
ETHUSDT,20,0.7,-16.04973557162742,487,40.04,0.45040576872750593
ETHUSDT,55,0.5,-21.25235729202066,638,45.14,0.4741067197568904
ETHUSDT,55,0.6,-14.345993618734749,434,44.01,0.466283201124306
ETHUSDT,55,0.7,-6.54675738313778,249,46.99,0.5427463401456165
SOLUSDT,10,0.5,-41.80402018388592,1776,59.01,0.6493291592482421
SOLUSDT,10,0.6,-27.33531227878604,1131,58.53,0.646281020062669
SOLUSDT,10,0.7,-11.38132141916453,585,58.97,0.6988409961615004
SOLUSDT,20,0.5,-27.104274719914486,1209,59.88,0.6630363637638917
SOLUSDT,20,0.6,-15.688405037862609,773,60.28,0.6916944659507541
SOLUSDT,20,0.7,-5.771715004594693,416,62.02,0.7746522025930214
SOLUSDT,55,0.5,-15.003744166067483,700,61.29,0.6800203658167991
SOLUSDT,55,0.6,-7.464637874705884,450,62.89,0.7455420376847901
SOLUSDT,55,0.7,-2.9784034563617747,244,63.52,0.8046080790263923
XLMUSDT,10,0.5,-14.438871152909492,900,57.56,0.7323896953701775
XLMUSDT,10,0.6,-6.469314169755448,397,59.7,0.742893155737543
XLMUSDT,10,0.7,-0.13060099288268578,150,66.0,0.9846853723031397
XLMUSDT,20,0.5,-5.810845168563228,628,59.87,0.8322118366557856
XLMUSDT,20,0.6,-1.5280534805316353,284,63.03,0.9031898971677208
XLMUSDT,20,0.7,-0.029719496957935965,111,65.77,0.9951951537691094
XLMUSDT,55,0.5,-1.1156395654674305,364,62.36,0.9428822414734296
XLMUSDT,55,0.6,-0.16840864422167293,167,63.47,0.982034029802707
XLMUSDT,55,0.7,0.6767930163604413,64,65.62,1.1942311998925876
LINKUSDT,10,0.5,-42.542556540734495,1659,56.48,0.6109447632093385
LINKUSDT,10,0.6,-27.766353202398587,1037,56.12,0.5980023943690606
