exp,symbol,tf,days_overlap,corr_vs_pf13,net,trades
F_001_rsi2_snap,ETHUSDT,4h,113,0.3329,8.86,137
F_001_rsi2_snap,FILUSDT,4h,74,0.2222,13.52,95
F_001_rsi2_snap,LINKUSDT,1h,255,0.2593,20.61,620
F_001_rsi2_snap,LINKUSDT,4h,107,0.2482,11.53,135
F_001_rsi2_snap,RENDERUSDT,1h,214,0.2263,34.18,524
F_001_rsi2_snap,RENDERUSDT,4h,98,0.2204,27.49,124
F_001_rsi2_snap,SOLUSDT,4h,117,0.3629,9.1,151
F_001_rsi2_snap,XLMUSDT,1h,215,0.3209,30.18,530
F_001_rsi2_snap,XLMUSDT,4h,98,0.0513,20.29,121
F_008_turtle_soup,ETHUSDT,1h,47,0.1685,1.69,50
F_008_turtle_soup,FILUSDT,4h,48,0.5893,7.12,48
F_008_turtle_soup,GRAMUSDT,1h,121,0.0981,4.16,133
F_008_turtle_soup,LINKUSDT,1h,122,0.2783,4.34,141
F_008_turtle_soup,LINKUSDT,4h,56,0.5725,7.29,58
F_008_turtle_soup,RENDERUSDT,1h,186,0.1958,6.44,212
F_008_turtle_soup,SOLUSDT,1h,182,0.1678,6.02,214
F_008_turtle_soup,SOLUSDT,4h,51,0.6064,4.26,53
F_008_turtle_soup,XLMUSDT,4h,58,0.3264,3.08,58
F_015_zscore_regime,ETHUSDT,1h,34,-0.0476,2.34,47
F_015_zscore_regime,SOLUSDT,1h,40,0.4927,1.56,60
F_015_zscore_regime,XLMUSDT,1h,31,-0.065,1.71,41
F_165_score_entry,BTCUSDT,4h,70,0.5486,2.37,74
F_165_score_entry,ETHUSDT,1h,151,0.3752,11.31,189
F_165_score_entry,ETHUSDT,4h,67,0.6896,9.25,75
F_165_score_entry,FILUSDT,1h,156,0.4832,24.45,201
F_165_score_entry,FILUSDT,4h,41,0.6917,19.34,46
F_165_score_entry,GRAMUSDT,1h,133,0.2548,6.0,155
F_165_score_entry,LINKUSDT,1h,158,0.3581,18.19,199
F_165_score_entry,LINKUSDT,4h,73,0.4389,14.34,79
F_165_score_entry,RENDERUSDT,1h,164,0.4621,21.31,215
F_165_score_entry,SOLUSDT,1h,193,0.2225,15.38,268
F_165_score_entry,SOLUSDT,4h,80,0.2862,11.99,87
F_165_score_entry,XLMUSDT,1h,171,0.2807,14.71,246
F_165_score_entry,XLMUSDT,4h,52,0.3085,16.65,55
F_192_ext_entry,ETHUSDT,1h,211,0.3718,14.93,278
F_192_ext_entry,ETHUSDT,4h,79,0.5833,7.59,85
F_192_ext_entry,FILUSDT,1h,223,0.459,27.76,296
F_192_ext_entry,FILUSDT,4h,63,0.6035,26.87,69
F_192_ext_entry,LINKUSDT,1h,218,0.4128,23.78,305
F_192_ext_entry,LINKUSDT,4h,92,0.4092,21.42,98
F_192_ext_entry,RENDERUSDT,1h,251,0.423,30.95,375
F_192_ext_entry,SOLUSDT,1h,242,0.3156,18.61,340
F_192_ext_entry,SOLUSDT,4h,90,0.5182,13.37,96
F_192_ext_entry,XLMUSDT,1h,220,0.3516,22.0,311
F_192_ext_entry,XLMUSDT,4h,67,0.325,21.43,80
