symbol,NOVA_EMA_FAST,NOVA_EMA_SLOW,NOVA_VOL_MULT,net,trades,win_pct,pf
SOLUSDT,8,20,1.0,6.061381525948055,64,89.06,2.9209637535973365
SOLUSDT,8,20,1.2,5.347172394761978,47,89.36,3.4497897838728626
SOLUSDT,8,20,1.5,1.7744993093247263,24,87.5,2.137269667787534
SOLUSDT,8,21,1.0,5.739778330637903,60,88.33,2.8190417612945575
SOLUSDT,8,21,1.2,5.249827116716139,46,89.13,3.4051913587503497
SOLUSDT,8,21,1.5,1.7744993093247263,24,87.5,2.137269667787534
SOLUSDT,9,20,1.0,6.580682634841019,57,91.23,3.923970218944605
SOLUSDT,9,20,1.2,5.7331936885559225,43,90.7,4.648058245552507
SOLUSDT,9,20,1.5,2.3856318811645107,23,91.3,3.5133535490418413
SOLUSDT,9,21,1.0,7.42189859479805,54,92.59,5.280603919039785
SOLUSDT,9,21,1.2,6.638292648512952,41,92.68,7.2932973442645865
SOLUSDT,9,21,1.5,2.8378592690713575,23,91.3,3.9897922315324426
