symbol,NOVA_ORB_MIN,NOVA_RETEST_WINDOW,net,trades,win_pct,pf
BTCUSDT,5,3,24.306953435819583,310,87.42,2.1195776503990893
BTCUSDT,5,6,24.306953435819583,310,87.42,2.1195776503990893
BTCUSDT,5,12,24.306953435819583,310,87.42,2.1195776503990893
BTCUSDT,15,3,23.16450710718618,195,88.72,2.9360854413942046
BTCUSDT,15,6,23.16450710718618,195,88.72,2.9360854413942046
BTCUSDT,15,12,23.16450710718618,195,88.72,2.9360854413942046
BTCUSDT,30,3,0.0,0,0.0,0.0
BTCUSDT,30,6,0.0,0,0.0,0.0
BTCUSDT,30,12,0.0,0,0.0,0.0
ETHUSDT,5,3,41.6257071714265,310,94.19,4.461026048893796
ETHUSDT,5,6,41.6257071714265,310,94.19,4.461026048893796
ETHUSDT,5,12,41.6257071714265,310,94.19,4.461026048893796
ETHUSDT,15,3,24.171822576465487,166,92.77,3.746134015834372
ETHUSDT,15,6,24.171822576465487,166,92.77,3.746134015834372
ETHUSDT,15,12,24.171822576465487,166,92.77,3.746134015834372
ETHUSDT,30,3,0.0,0,0.0,0.0
ETHUSDT,30,6,0.0,0,0.0,0.0
ETHUSDT,30,12,0.0,0,0.0,0.0
SOLUSDT,5,3,55.36703887245666,307,90.55,2.7656231134788367
SOLUSDT,5,6,55.36703887245666,307,90.55,2.7656231134788367
SOLUSDT,5,12,55.36703887245666,307,90.55,2.7656231134788367
SOLUSDT,15,3,37.814880153454645,163,92.64,3.9245162473669675
SOLUSDT,15,6,37.814880153454645,163,92.64,3.9245162473669675
SOLUSDT,15,12,37.814880153454645,163,92.64,3.9245162473669675
SOLUSDT,30,3,0.0,0,0.0,0.0
SOLUSDT,30,6,0.0,0,0.0,0.0
SOLUSDT,30,12,0.0,0,0.0,0.0
XLMUSDT,5,3,45.270889040574325,314,87.58,2.5967184939205583
XLMUSDT,5,6,45.270889040574325,314,87.58,2.5967184939205583
XLMUSDT,5,12,45.270889040574325,314,87.58,2.5967184939205583
XLMUSDT,15,3,23.011089321720576,146,86.3,2.5458327032766506
XLMUSDT,15,6,23.011089321720576,146,86.3,2.5458327032766506
XLMUSDT,15,12,23.011089321720576,146,86.3,2.5458327032766506
XLMUSDT,30,3,0.0,0,0.0,0.0
XLMUSDT,30,6,0.0,0,0.0,0.0
XLMUSDT,30,12,0.0,0,0.0,0.0
LINKUSDT,5,3,63.325981108437816,333,91.89,3.287431066907731
LINKUSDT,5,6,63.325981108437816,333,91.89,3.287431066907731
LINKUSDT,5,12,63.325981108437816,333,91.89,3.287431066907731
LINKUSDT,15,3,39.50425149370275,171,94.15,4.803946207652408
LINKUSDT,15,6,39.50425149370275,171,94.15,4.803946207652408
LINKUSDT,15,12,39.50425149370275,171,94.15,4.803946207652408
LINKUSDT,30,3,0.0,0,0.0,0.0
LINKUSDT,30,6,0.0,0,0.0,0.0
LINKUSDT,30,12,0.0,0,0.0,0.0
GRAMUSDT,5,3,8.561317384181619,97,87.63,1.7871217171484615
GRAMUSDT,5,6,8.561317384181619,97,87.63,1.7871217171484615
GRAMUSDT,5,12,8.561317384181619,97,87.63,1.7871217171484615
GRAMUSDT,15,3,10.167366298880982,46,100.0,inf
GRAMUSDT,15,6,10.167366298880982,46,100.0,inf
GRAMUSDT,15,12,10.167366298880982,46,100.0,inf
GRAMUSDT,30,3,0.0,0,0.0,0.0
GRAMUSDT,30,6,0.0,0,0.0,0.0
GRAMUSDT,30,12,0.0,0,0.0,0.0
RENDERUSDT,5,3,30.70093834541568,97,96.91,8.868715783658937
RENDERUSDT,5,6,30.70093834541568,97,96.91,8.868715783658937
RENDERUSDT,5,12,30.70093834541568,97,96.91,8.868715783658937
RENDERUSDT,15,3,20.0848042053938,50,96.0,10.870680653348263
RENDERUSDT,15,6,20.0848042053938,50,96.0,10.870680653348263
RENDERUSDT,15,12,20.0848042053938,50,96.0,10.870680653348263
RENDERUSDT,30,3,0.0,0,0.0,0.0
RENDERUSDT,30,6,0.0,0,0.0,0.0
RENDERUSDT,30,12,0.0,0,0.0,0.0
FILUSDT,5,3,58.614064860165094,289,93.08,3.377266657027697
FILUSDT,5,6,58.614064860165094,289,93.08,3.377266657027697
FILUSDT,5,12,58.614064860165094,289,93.08,3.377266657027697
FILUSDT,15,3,44.99587733410208,185,94.59,4.900940641710166
FILUSDT,15,6,44.99587733410208,185,94.59,4.900940641710166
FILUSDT,15,12,44.99587733410208,185,94.59,4.900940641710166
FILUSDT,30,3,0.0,0,0.0,0.0
FILUSDT,30,6,0.0,0,0.0,0.0
FILUSDT,30,12,0.0,0,0.0,0.0
