symbol,NOVA_EXT_MAX,net,trades,win_pct,pf
BTCUSDT,-0.15,0.0,0,0.0,0.0
BTCUSDT,0.1,-1138.2289987834884,446,15.47,0.31713127898904014
BTCUSDT,0.5,-5178.965215621466,1982,15.24,0.2977388313647582
BTCUSDT,1.0,-8766.577083632146,3318,14.8,0.28564021870341993
ETHUSDT,-0.15,0.0,0,0.0,0.0
ETHUSDT,0.1,-1434.9012633810366,467,18.42,0.30783860424603166
ETHUSDT,0.5,-4889.968414003366,1932,19.46,0.39987875752472846
ETHUSDT,1.0,-8096.448677150119,3081,18.73,0.3739403341841361
SOLUSDT,-0.15,0.0,0,0.0,0.0
SOLUSDT,0.1,-1300.4789458587024,435,26.21,0.5574371688541466
SOLUSDT,0.5,-5957.0636508214675,1951,24.86,0.5435895198127182
SOLUSDT,1.0,-8138.703245383985,3006,25.65,0.5833492349358516
XLMUSDT,-0.15,0.0,0,0.0,0.0
XLMUSDT,0.1,-1275.729025430949,490,21.84,0.47461055834511096
XLMUSDT,0.5,-3210.3906899774433,1353,23.06,0.599225807379426
XLMUSDT,1.0,-5568.411893967694,2231,22.5,0.5788275543074142
LINKUSDT,-0.15,-5.036724094060825,1,0.0,0.0
LINKUSDT,0.1,-1158.7896563539962,473,25.79,0.588379218875789
LINKUSDT,0.5,-5529.851132816746,2054,25.32,0.5730429664488282
LINKUSDT,1.0,-8392.388979058665,3211,25.63,0.5791047514982552
GRAMUSDT,-0.15,0.0,0,0.0,0.0
GRAMUSDT,0.1,-340.28902838768295,105,22.86,0.4256596573542317
GRAMUSDT,0.5,-1735.822638947398,613,22.84,0.46144227217328426
GRAMUSDT,1.0,-2661.078158775022,952,22.69,0.46765241212980696
RENDERUSDT,-0.15,0.0,0,0.0,0.0
RENDERUSDT,0.1,-666.0892300124086,148,25.68,0.5049911640133132
RENDERUSDT,0.5,-1876.6911858459164,626,26.84,0.6335160352535025
RENDERUSDT,1.0,-3269.555270415359,1002,26.65,0.6029743188992402
FILUSDT,-0.15,6.1006937594054,1,100.0,inf
FILUSDT,0.1,-1261.0762052237264,447,26.4,0.576179938185716
FILUSDT,0.5,-4445.522752169351,1970,25.94,0.6331301767606803
FILUSDT,1.0,-8399.142449227846,3103,24.81,0.570249325669446
