symbol,trades,net,win_pct,pf,avg_win,avg_loss,longest_loss_streak,avg_hours_held,max_dd,longest_dd_days,longest_dd_trades,worst_day,first_half_net,second_half_net,first_exit,last_exit,n_trades,psr_z,dsr_z,sr_per_trade,sharpe_annual_approx,trades_per_year,skew,kurtosis,psr_vs_zero,sr_star,dsr,n_trials,status,first_bar,blind_net
ETHUSDT,922,5160.6964,88.18,2.325,11.1385,-35.7328,5.0,6.98,246.1307,41.3,54.0,-106.2861,3668.42,1492.28,2021-09-03 20:00:00+00:00,2023-08-30 20:00:00+00:00,922.0,7.107,5.304,0.27774,5.969,461.9,-0.877,9.4457,1.0,0.070477,1.0,32.0,مقاسة,2021-09-01 00:00:00+00:00,5160.7003
SOLUSDT,892,10246.6085,91.48,3.239,18.1655,-60.2165,2.0,5.88,233.8482,22.2,29.0,-201.4544,6131.77,4114.84,2021-09-04 00:00:00+00:00,2023-08-29 20:00:00+00:00,892.0,8.157,6.486,0.35384,7.48,446.9,-0.5397,16.5129,1.0,0.072476,1.0,32.0,مقاسة,2021-09-01 00:00:00+00:00,10246.6094
XLMUSDT,913,6455.1966,89.38,2.6082,12.8298,-41.381,3.0,6.58,226.3937,56.8,80.0,-157.4374,3678.93,2776.27,2021-09-04 04:00:00+00:00,2023-08-30 20:00:00+00:00,913.0,4.892,3.198,0.20268,4.335,457.4,13.9833,332.0015,1.0,0.070206,0.999308,32.0,مقاسة,2021-09-01 00:00:00+00:00,6455.2002
GRAMUSDT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,غير مقاسة — البيانات تبدأ بعد النافذة,2024-08-08 08:00:00+00:00,
RENDERUSDT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,غير مقاسة — البيانات تبدأ بعد النافذة,2024-07-26 08:00:00+00:00,
FILUSDT,885,9041.2386,91.3,3.1703,16.3455,-54.1031,3.0,6.0,225.3492,30.2,41.0,-178.6892,5047.14,3994.1,2021-09-04 04:00:00+00:00,2023-08-29 20:00:00+00:00,885.0,9.097,7.251,0.35892,7.558,443.4,-0.1883,10.5839,1.0,0.072824,1.0,32.0,مقاسة,2021-09-01 00:00:00+00:00,9041.2411
