symbol,cells,positive_cells,mean_net,median_net,min_net,max_net
ETHUSDT,32,19,310.44,128.88,-1225.65,3815.57
SOLUSDT,32,16,240.89,24.78,-1857.58,4883.32
XLMUSDT,32,14,-400.7,-7.31,-8772.42,5411.93
GRAMUSDT,32,13,-374.12,-93.68,-6897.43,3746.05
RENDERUSDT,32,15,-257.09,0.0,-11089.06,8813.55
FILUSDT,32,17,-40.19,155.46,-7275.91,5937.69
