الفلتر,حذف,منها رابحة,منها خاسرة,ربح ضائع$,خسارة موفَّرة$,صافي المحذوف$,ضيّع مقابل كل دولار وفّره
فوق المتوسط,6868,6178,690,1574.75,632.32,942.43,2.49
ليس هابطًا,6997,6311,686,1703.4,620.97,1082.43,2.74
ليس عرضيًا,7373,6632,741,1751.75,672.73,1079.02,2.6
الثلاثي كاملًا,9767,8756,1011,2331.25,917.97,1413.28,2.54
