symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held,driver
ATOMUSDT,F_213_breakers,2025-01-06T04:00:00+00:00,2025-01-06T08:00:00+00:00,7.520764,7.62596,20.0,0.2797,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-06T16:00:00+00:00,2025-01-06T20:00:00+00:00,7.565823,7.593877,20.0,0.0742,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-07T08:00:00+00:00,2025-01-07T12:00:00+00:00,7.579841,7.711779,20.0,0.3481,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-12T00:00:00+00:00,2025-01-12T04:00:00+00:00,6.628606,6.669934,20.0,0.1247,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-12T16:00:00+00:00,2025-01-13T04:00:00+00:00,6.56252,6.690926,20.0,0.3913,,stop,3,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-13T16:00:00+00:00,2025-01-13T20:00:00+00:00,6.201051,6.220858,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-14T00:00:00+00:00,2025-01-14T04:00:00+00:00,6.294172,6.314276,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-15T00:00:00+00:00,2025-01-15T04:00:00+00:00,6.280154,6.308131,20.0,0.0891,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-01-23T16:00:00+00:00,2025-01-23T20:00:00+00:00,6.07689,6.162039,20.0,0.2802,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-05T12:00:00+00:00,2025-02-05T16:00:00+00:00,4.786214,4.833833,20.0,0.199,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-07T00:00:00+00:00,2025-02-07T04:00:00+00:00,4.41373,4.526479,20.0,0.5109,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-07T08:00:00+00:00,2025-02-07T12:00:00+00:00,4.438763,4.544441,20.0,0.4762,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-07T16:00:00+00:00,2025-02-07T20:00:00+00:00,4.59096,4.283528,20.0,-1.3393,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-08T04:00:00+00:00,2025-02-08T08:00:00+00:00,4.386695,4.400707,20.0,0.0639,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-08T12:00:00+00:00,2025-02-08T16:00:00+00:00,4.381689,4.467603,20.0,0.3922,,stop,1,F_213_breakers
ATOMUSDT,F_213_breakers,2025-02-08T20:00:00+00:00,2025-02-09T00:00:00+00:00,4.540896,4.582362,20.0,0.1826,,stop,1,F_213_breakers
