symbol,NOVA_EXIT,NOVA_TRIGGER,blind_net,trades,win_pct,pf
XLMUSDT,std,MSS,70.72382106576586,4,25.0,1.5297850914869415
XLMUSDT,std,FVG,-2616.709710411539,189,27.51,0.6384658485310962
XLMUSDT,std,SFP,-789.4250713681877,47,25.53,0.5913043682384787
XLMUSDT,std,MicroBurst,-41.09515820919468,138,33.33,0.9904043874506196
XLMUSDT,std,RSI,-740.0908367615004,69,28.99,0.7652603613445033
XLMUSDT,std,MACD,-403.89441565299853,129,33.33,0.9070796392344355
XLMUSDT,std,Bollinger,-2600.9975663105124,204,23.04,0.6421976019957032
XLMUSDT,std,EMA,345.21829235908604,40,40.0,1.3146527342833898
XLMUSDT,std,ADX,-303.8360454594317,69,31.88,0.8652448102900178
XLMUSDT,std,Stochastic,-1277.9036196205361,128,25.78,0.7399135631867505
XLMUSDT,std,OBV,-1643.1537063380124,193,27.46,0.7561273769430225
XLMUSDT,std,SuperTrend,0.0,0,0.0,0.0
XLMUSDT,std,RSI7,-625.8072081281463,70,30.0,0.7911714673985238
XLMUSDT,std,KAMA,-463.60581038934396,65,29.23,0.7773045832570257
XLMUSDT,std,ELITE8,-4104.483467941115,463,27.0,0.7482077549164192
XLMUSDT,std,ALL14,-6806.124311040693,714,27.31,0.7316315769952637
XLMUSDT,dual,MSS,37.11343997811837,4,100.0,inf
XLMUSDT,dual,FVG,2293.5544523788176,284,91.2,3.132986416756486
XLMUSDT,dual,SFP,475.9398068778184,63,90.48,3.18952823452885
XLMUSDT,dual,MicroBurst,2858.2152211977423,201,89.55,5.048624747039788
XLMUSDT,dual,RSI,614.2604805311947,95,88.42,2.028610614785058
XLMUSDT,dual,MACD,2077.720452365806,161,90.68,4.45599346228787
XLMUSDT,dual,Bollinger,1156.0951595348522,298,86.24,1.7369367915913052
XLMUSDT,dual,EMA,971.7126861514497,53,92.45,5.919513775676088
XLMUSDT,dual,ADX,1430.139998129526,81,91.36,8.31158060463446
XLMUSDT,dual,Stochastic,1126.0073147720645,172,88.95,2.3120894984417175
XLMUSDT,dual,OBV,1715.059836921162,274,86.86,2.0812820031652777
XLMUSDT,dual,SuperTrend,0.0,0,0.0,0.0
XLMUSDT,dual,RSI7,542.5213189097759,88,88.64,2.1169119708670836
XLMUSDT,dual,KAMA,1358.4582138834032,86,87.21,4.174217641045338
XLMUSDT,dual,ELITE8,4330.106818072307,633,88.94,2.524193593856897
XLMUSDT,dual,ALL14,6455.200200951858,913,89.38,2.6081898279326032
