symbol,NOVA_Z_P,NOVA_Z_TH,NOVA_WICK_RATIO,net,trades,win_pct,pf
XLMUSDT,30,-2.5,0.5,0.63874377359977,26,69.23,1.5718555195232704
XLMUSDT,30,-2.5,0.6,0.4194778845319346,21,66.67,1.496115927943368
XLMUSDT,50,-1.5,0.5,-16.391177254782527,1052,58.65,0.7451288115429617
XLMUSDT,50,-1.5,0.6,-11.669940429175579,903,60.13,0.7819652640905478
XLMUSDT,50,-2.0,0.5,-3.895272983985669,384,60.94,0.8329415520854384
XLMUSDT,50,-2.0,0.6,-1.9185641049338866,323,62.85,0.8962811019231265
XLMUSDT,50,-2.5,0.5,-0.22332373119868154,91,67.03,0.9582685797676069
XLMUSDT,50,-2.5,0.6,-0.5642811287574634,78,66.67,0.8757335253210307
LINKUSDT,20,-1.5,0.5,-25.596878018245228,987,57.85,0.6123998440875934
LINKUSDT,20,-1.5,0.6,-23.445278632930005,821,57.0,0.5871852274851854
LINKUSDT,20,-2.0,0.5,-3.180303134249581,146,60.27,0.6775211396972491
LINKUSDT,20,-2.0,0.6,-2.3111037327452277,106,61.32,0.6793301504583964
LINKUSDT,20,-2.5,0.5,-0.03975595821975984,2,50.0,0.6163994804399666
LINKUSDT,20,-2.5,0.6,-0.03975595821975984,2,50.0,0.6163994804399666
LINKUSDT,30,-1.5,0.5,-29.769847151634615,1339,59.9,0.6540749141033602
LINKUSDT,30,-1.5,0.6,-26.20314753600348,1148,59.41,0.6479223753072327
LINKUSDT,30,-2.0,0.5,-3.961721623975216,325,64.92,0.7949773593448095
LINKUSDT,30,-2.0,0.6,-4.821097046960887,271,63.1,0.7236102947805232
LINKUSDT,30,-2.5,0.5,0.11398202275705388,38,68.42,1.057848173177422
LINKUSDT,30,-2.5,0.6,-0.20575497044551921,29,65.52,0.8796586296079106
LINKUSDT,50,-1.5,0.5,-38.25333955614778,1532,58.55,0.6255531682714507
LINKUSDT,50,-1.5,0.6,-34.26970089159837,1348,58.61,0.6221826522181955
LINKUSDT,50,-2.0,0.5,-9.646128113159586,521,62.38,0.7073688607100699
LINKUSDT,50,-2.0,0.6,-8.656919209885118,446,61.66,0.7010854584818412
LINKUSDT,50,-2.5,0.5,-1.5597807930019352,128,68.75,0.8147196838008636
LINKUSDT,50,-2.5,0.6,-1.8265624895973092,110,68.18,0.7674589032766168
GRAMUSDT,20,-1.5,0.5,-10.061311403119829,299,51.51,0.5134884415345414
GRAMUSDT,20,-1.5,0.6,-9.157905347766903,260,51.15,0.49797269296141156
GRAMUSDT,20,-2.0,0.5,-2.2830348665079083,45,46.67,0.37945303252827084
GRAMUSDT,20,-2.0,0.6,-2.061281080488298,39,46.15,0.36880220016889576
GRAMUSDT,20,-2.5,0.5,0.1277660000000011,2,100.0,inf
GRAMUSDT,20,-2.5,0.6,0.1277660000000011,2,100.0,inf
GRAMUSDT,30,-1.5,0.5,-13.68599770078038,367,50.95,0.4891716339418519
GRAMUSDT,30,-1.5,0.6,-13.157873819235963,339,50.74,0.47615949970367333
GRAMUSDT,30,-2.0,0.5,-4.171360936163161,99,52.53,0.44797479409220203
GRAMUSDT,30,-2.0,0.6,-3.6752195615266716,82,51.22,0.42689282661237543
GRAMUSDT,30,-2.5,0.5,-1.2588680684660596,18,38.89,0.2685012060047675
GRAMUSDT,30,-2.5,0.6,-1.0197082474361732,16,43.75,0.31183728997229127
GRAMUSDT,50,-1.5,0.5,-13.642154739217327,409,53.79,0.5278572381097058
GRAMUSDT,50,-1.5,0.6,-12.150676802101453,370,54.59,0.5341231131986479
GRAMUSDT,50,-2.0,0.5,-5.907107127382108,168,55.95,0.5351692064286991
GRAMUSDT,50,-2.0,0.6,-5.607248982994304,154,55.84,0.5232046289472089
GRAMUSDT,50,-2.5,0.5,-2.62523392318649,55,54.55,0.42990613426760393
GRAMUSDT,50,-2.5,0.6,-2.3275926926389716,50,56.0,0.4419323522906197
RENDERUSDT,20,-1.5,0.5,-2.6915215142402937,291,69.76,0.8525524452895437
RENDERUSDT,20,-1.5,0.6,-1.8326806344267745,240,71.25,0.8748191068162946
RENDERUSDT,20,-2.0,0.5,0.07121180007748446,31,67.74,1.0414538262045898
RENDERUSDT,20,-2.0,0.6,-0.20627783484527407,24,66.67,0.8506775374743885
RENDERUSDT,20,-2.5,0.5,0.0,0,0.0,0.0
RENDERUSDT,20,-2.5,0.6,0.0,0,0.0,0.0
RENDERUSDT,30,-1.5,0.5,-3.3487355078774166,380,71.05,0.8614315856082323
RENDERUSDT,30,-1.5,0.6,-2.164218880018601,320,72.5,0.8914349705363279
RENDERUSDT,30,-2.0,0.5,-1.6148880296667487,99,67.68,0.7645321431425038
RENDERUSDT,30,-2.0,0.6,-1.9977387538375748,77,66.23,0.6498561102985891
RENDERUSDT,30,-2.5,0.5,-0.2775320034440915,8,62.5,0.5350810007540521
RENDERUSDT,30,-2.5,0.6,-0.10929979301818088,7,71.43,0.7450524339300152
RENDERUSDT,50,-1.5,0.5,-1.3452904581369443,435,73.33,0.9496570827335611
RENDERUSDT,50,-1.5,0.6,-2.6899104896690234,389,73.26,0.8925343974621722
RENDERUSDT,50,-2.0,0.5,0.29268312219682563,161,73.91,1.029207442122788
RENDERUSDT,50,-2.0,0.6,-0.8881126176773457,143,72.73,0.9085240611001131
RENDERUSDT,50,-2.5,0.5,0.08886265167819794,35,74.29,1.045876077729227
RENDERUSDT,50,-2.5,0.6,-0.4223868223899926,28,71.43,0.7611991592174046
FILUSDT,20,-1.5,0.5,-23.113403173365274,1057,59.51,0.6681725077546938
FILUSDT,20,-1.5,0.6,-17.171738375092442,910,60.22,0.7052998318398971
FILUSDT,20,-2.0,0.5,-0.04979358037710352,143,65.03,0.9940051690816443
FILUSDT,20,-2.0,0.6,1.174965982575466,124,68.55,1.1788309093109857
FILUSDT,20,-2.5,0.5,-0.027670906901142656,4,50.0,0.9087327588176634
FILUSDT,20,-2.5,0.6,-0.027670906901142656,4,50.0,0.9087327588176634
FILUSDT,30,-1.5,0.5,-29.589916750377366,1386,60.03,0.6743193571652512
FILUSDT,30,-1.5,0.6,-26.726984854957273,1247,60.14,0.6752954555218075
FILUSDT,30,-2.0,0.5,-3.8070113176306486,379,64.38,0.8362435802133592
FILUSDT,30,-2.0,0.6,-2.908448158427464,324,64.51,0.8545724124813144
FILUSDT,30,-2.5,0.5,0.4920011611725157,54,70.37,1.1512241072499736
FILUSDT,30,-2.5,0.6,0.4880424024901917,47,70.21,1.1661137653341247
FILUSDT,50,-1.5,0.5,-34.620931519941,1654,61.12,0.6837540772370527
FILUSDT,50,-1.5,0.6,-32.43125035251701,1481,60.97,0.6740510018869558
FILUSDT,50,-2.0,0.5,-9.624423806128531,640,64.22,0.7687692046755896
FILUSDT,50,-2.0,0.6,-9.703115403651093,572,63.11,0.7469688690102873
FILUSDT,50,-2.5,0.5,-0.9266524059646974,164,65.85,0.9124873895496319
FILUSDT,50,-2.5,0.6,-0.08837937744902828,142,66.9,0.9899634791814855
