symbol,dropped,net,trades,win_pct,pf,delta_vs_all14
ETHUSDT,MSS,3815.5727969747895,752,88.56,2.166229755808382,0.0
ETHUSDT,FVG,3182.7305364629574,647,88.1,2.0654532573252498,-632.8422605118321
ETHUSDT,SFP,3783.4414436374163,750,88.53,2.156408808246813,-32.131353337373184
ETHUSDT,MicroBurst,3490.2328572425677,715,88.67,2.1342914891006957,-325.33993973222186
ETHUSDT,RSI,3849.9692514534354,747,88.62,2.2060086054404673,34.396454478645865
ETHUSDT,MACD,3658.8191323928822,727,88.45,2.1441951673760933,-156.7536645819073
ETHUSDT,Bollinger,3425.338640022081,707,87.69,2.054090342766821,-390.2341569527084
ETHUSDT,EMA,3712.2751027158774,736,88.45,2.1423129718560507,-103.29769425891209
ETHUSDT,ADX,3820.8863613403128,730,89.04,2.2666608983595617,5.313564365523234
ETHUSDT,Stochastic,3745.9189049494735,713,88.5,2.228880951733909,-69.65389202531605
ETHUSDT,OBV,3381.944177062446,666,88.14,2.13286173191213,-433.6286199123433
ETHUSDT,SuperTrend,3815.5727969747895,752,88.56,2.166229755808382,0.0
ETHUSDT,RSI7,3812.3786469747893,751,88.55,2.165253463919136,-3.1941500000002634
ETHUSDT,KAMA,3639.2080532145974,744,88.31,2.0940962602013173,-176.36474376019214
