NOVA_COOL_S,NOVA_MAX_PER,symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
120.0,2,BNBUSDT,F_205,2026-06-01T00:29:00+00:00,2026-06-01T00:30:00+00:00,712.104534,713.655574,1000.0,2.1781,,tp,1
120.0,2,BNBUSDT,F_205,2026-06-01T00:31:00+00:00,2026-06-01T00:32:00+00:00,716.860709,713.942804,1000.0,-4.0704,,stop,1
120.0,2,BNBUSDT,F_205,2026-06-01T02:08:00+00:00,2026-06-01T02:34:00+00:00,700.859935,704.571371,1000.0,5.2955,,tp,26
120.0,2,BNBUSDT,F_205,2026-06-01T02:15:00+00:00,2026-06-01T02:38:00+00:00,702.421963,705.161203,1000.0,3.8997,,tp,23
120.0,2,BNBUSDT,F_205,2026-06-01T02:39:00+00:00,2026-06-01T02:40:00+00:00,707.748879,705.299368,1000.0,-3.461,,stop,1
120.0,2,BNBUSDT,F_205,2026-06-01T02:42:00+00:00,2026-06-01T02:50:00+00:00,708.279568,705.371392,1000.0,-4.106,,stop,8
120.0,2,BNBUSDT,F_205,2026-06-01T04:41:00+00:00,2026-06-01T04:42:00+00:00,700.859935,698.639093,1000.0,-3.1687,,stop,1
120.0,2,BNBUSDT,F_205,2026-06-01T05:48:00+00:00,2026-06-01T05:50:00+00:00,698.787244,696.634726,1000.0,-3.0804,,stop,2
120.0,2,BNBUSDT,F_205,2026-06-01T06:51:00+00:00,2026-06-01T06:55:00+00:00,695.883474,693.085576,1000.0,-4.0206,,stop,4
120.0,2,BNBUSDT,F_205,2026-06-01T08:04:00+00:00,2026-06-01T08:24:00+00:00,688.39375,685.823876,1000.0,-3.7331,,stop,20
120.0,2,BNBUSDT,F_205,2026-06-01T08:07:00+00:00,2026-06-01T08:08:00+00:00,689.074634,686.627999,1000.0,-3.5506,,stop,1
120.0,2,BNBUSDT,F_205,2026-06-01T08:37:00+00:00,2026-06-01T08:40:00+00:00,689.685427,687.132421,1000.0,-3.7017,,stop,3
120.0,2,BNBUSDT,F_205,2026-06-01T08:48:00+00:00,2026-06-01T08:50:00+00:00,689.945765,687.904611,1000.0,-2.9584,,stop,2
120.0,2,BNBUSDT,F_205,2026-06-01T09:03:00+00:00,2026-06-01T09:04:00+00:00,691.327559,688.987852,1000.0,-3.3844,,stop,1
