symbol,NOVA_DISP_MIN,net,trades,win_pct,pf
BTCUSDT,1.0,-275.60122275560275,266,34.96,0.8952835718250803
BTCUSDT,1.5,-253.89342686365188,217,34.56,0.8785935250079301
BTCUSDT,1.6,-228.4954942718232,207,34.3,0.8852201645873571
BTCUSDT,2.0,-181.29716886733985,160,35.0,0.8811361974498344
ETHUSDT,1.0,-1093.5518851697043,269,29.0,0.6943620604309504
ETHUSDT,1.5,-639.8969242469973,199,30.15,0.7480476882080341
ETHUSDT,1.6,-500.08787435489927,189,30.69,0.7837134246265374
ETHUSDT,2.0,-8.044445667616149,134,34.33,0.9944730731507725
SOLUSDT,1.0,-459.4039505276935,264,35.23,0.9134158969986556
SOLUSDT,1.5,-905.0065130980673,187,32.09,0.7725041398332714
SOLUSDT,1.6,-918.979141464298,170,30.59,0.7482438859762797
SOLUSDT,2.0,-568.0773098129159,111,30.63,0.7548041768537088
XLMUSDT,1.0,95.87179607342941,226,29.2,1.027154794292649
XLMUSDT,1.5,264.12447536919274,132,28.03,1.1192259169416305
XLMUSDT,1.6,420.591349112171,117,29.91,1.22728333218116
XLMUSDT,2.0,493.87872284817865,72,31.94,1.4409295636988504
LINKUSDT,1.0,231.5143926645568,260,35.77,1.0501821504627744
LINKUSDT,1.5,19.408390963852522,172,34.3,1.0061434263576674
LINKUSDT,1.6,215.8499846784941,153,35.29,1.078355692175446
LINKUSDT,2.0,-197.53537937166456,98,32.65,0.892739974858591
GRAMUSDT,1.0,-353.3148527940962,68,27.94,0.6872066270899989
GRAMUSDT,1.5,-264.6393471181293,38,26.32,0.6076268670424331
GRAMUSDT,1.6,-210.40548208875444,34,26.47,0.6465364059771046
GRAMUSDT,2.0,-171.03054830738148,18,22.22,0.49371017998291533
RENDERUSDT,1.0,-384.8648414664195,77,28.57,0.8067848047726381
RENDERUSDT,1.5,-343.68821415752956,50,28.0,0.7363479913963069
RENDERUSDT,1.6,-411.550261871303,46,26.09,0.6698669294922284
RENDERUSDT,2.0,-356.2028047926048,24,20.83,0.47202340431950773
FILUSDT,1.0,-590.370324463145,254,32.68,0.878269553357241
FILUSDT,1.5,-346.09799595657194,173,31.21,0.8952786662866228
FILUSDT,1.6,-649.9264569318833,159,29.56,0.7940301663162032
FILUSDT,2.0,-657.1030166660584,90,27.78,0.6542375682084427
