symbol,NOVA_EXT_MAX,net,trades,win_pct,pf
BTCUSDT,-0.15,0.0,0,0.0,0.0
BTCUSDT,0.1,21.454139573465394,7,42.86,1.1633509171634369
BTCUSDT,0.5,48.5855568584105,34,38.24,1.0757370555273558
BTCUSDT,1.0,68.63099496398739,53,39.62,1.0689241866311159
ETHUSDT,-0.15,0.0,0,0.0,0.0
ETHUSDT,0.1,235.14990073667937,7,57.14,3.438105881430103
ETHUSDT,0.5,-406.67103785299435,47,29.79,0.6681337171675357
ETHUSDT,1.0,-242.2997518988726,68,33.82,0.8481186457658725
SOLUSDT,-0.15,0.0,0,0.0,0.0
SOLUSDT,0.1,113.9259130854293,13,38.46,1.249246097662011
SOLUSDT,0.5,370.0257317099007,43,37.21,1.230421571419664
SOLUSDT,1.0,1560.820735329842,68,45.59,1.710097554532628
XLMUSDT,-0.15,0.0,0,0.0,0.0
XLMUSDT,0.1,169.10345454709972,5,40.0,3.1647961623651995
XLMUSDT,0.5,-38.75055060286638,40,30.0,0.9650404170220375
XLMUSDT,1.0,-544.0553745373477,55,27.27,0.6901608170190198
LINKUSDT,-0.15,0.0,0,0.0,0.0
LINKUSDT,0.1,63.28569126359007,12,41.67,1.1890860841209645
LINKUSDT,0.5,353.9153784709887,38,39.47,1.298834528843298
LINKUSDT,1.0,530.9477142806982,59,40.68,1.293678587932247
GRAMUSDT,-0.15,0.0,0,0.0,0.0
GRAMUSDT,0.1,73.3383670764125,1,100.0,inf
GRAMUSDT,0.5,-116.65683712167088,11,27.27,0.6780603885901844
GRAMUSDT,1.0,-255.45648021874746,14,21.43,0.4902654583867394
RENDERUSDT,-0.15,0.0,0,0.0,0.0
RENDERUSDT,0.1,-70.9985324420877,1,0.0,0.0
RENDERUSDT,0.5,16.844543372003443,11,36.36,1.0333832880823324
RENDERUSDT,1.0,-133.83330045886572,15,33.33,0.8275510404390362
FILUSDT,-0.15,0.0,0,0.0,0.0
FILUSDT,0.1,241.9682686348636,9,55.56,1.8269411411530208
FILUSDT,0.5,214.86756814225993,32,37.5,1.1886083153450524
FILUSDT,1.0,155.15444474704174,50,36.0,1.0878013441555918
