symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
XLMUSDT,0.4,0.6,10,-93.52811144141495,420,31.43,0.9850557172584022
XLMUSDT,0.4,0.6,20,123.02583005479713,299,30.77,1.0276701789073661
XLMUSDT,0.4,0.6,50,-284.381553623302,182,29.12,0.9022181037701448
XLMUSDT,0.4,0.8,10,160.34085991787262,376,32.45,1.0287849275158016
XLMUSDT,0.4,0.8,20,164.6428694165011,281,30.96,1.038950231830957
XLMUSDT,0.4,0.8,50,-180.90053244391453,173,30.06,0.9349246197625631
XLMUSDT,0.4,1.0,10,-80.9085986769428,316,31.01,0.9833654902744404
XLMUSDT,0.4,1.0,20,133.98451656935597,250,30.0,1.0343801733652962
XLMUSDT,0.4,1.0,50,-252.35663693145,163,28.83,0.906452040468483
XLMUSDT,0.5,0.6,10,-382.20689984678415,378,29.37,0.9336795736281225
XLMUSDT,0.5,0.6,20,-230.36056140017698,277,28.52,0.9452251871774727
XLMUSDT,0.5,0.6,50,-453.23882510699417,168,26.19,0.8364270872655697
XLMUSDT,0.5,0.8,10,178.68849352275882,336,31.25,1.0355585602294708
XLMUSDT,0.5,0.8,20,-61.78020079719697,259,28.96,0.9843420002392753
XLMUSDT,0.5,0.8,50,-330.9132259762487,160,27.5,0.874852218818442
XLMUSDT,0.5,1.0,10,45.34598661063704,285,30.18,1.0103010469641387
XLMUSDT,0.5,1.0,20,95.87179607342941,226,29.2,1.027154794292649
XLMUSDT,0.5,1.0,50,-242.04089491338402,147,27.89,0.9022187688261569
XLMUSDT,0.6,0.6,10,171.46306395302966,301,31.23,1.037629327875382
XLMUSDT,0.6,0.6,20,335.79430376053267,222,30.18,1.1025908257813932
XLMUSDT,0.6,0.6,50,-288.945922314973,140,26.43,0.8770837587697357
XLMUSDT,0.6,0.8,10,683.8560341650618,270,34.07,1.1724748560800453
XLMUSDT,0.6,0.8,20,484.9679957128192,207,31.4,1.1575874243660045
XLMUSDT,0.6,0.8,50,-178.62262788441137,130,27.69,0.9193985393313749
XLMUSDT,0.6,1.0,10,362.2909176328785,230,31.74,1.1026009791202172
XLMUSDT,0.6,1.0,20,556.5294377256639,187,31.55,1.1971107835877042
XLMUSDT,0.6,1.0,50,-115.11584547057532,123,28.46,0.9455174153951327
