أ,ب,أيام أ,أيام ب,أيام مشتركة,تداخل%
F_213_breakers,F_165_score_entry,605,187,187,30.9
F_213_breakers,F_192_ext_entry,605,195,195,32.2
F_165_score_entry,F_192_ext_entry,187,195,162,73.6
