time,equity,cash,event
2025-01-03 12:00:00+00:00,200.1,230.095826,exit
2025-01-03 12:00:00+00:00,200.95,260.94734,exit
2025-01-03 12:00:00+00:00,202.29,292.2896,exit
2025-01-03 16:00:00+00:00,202.69,322.693529,exit
2025-01-03 16:00:00+00:00,203.54,353.544038,exit
2025-01-03 16:00:00+00:00,204.54,384.539381,exit
2025-01-03 16:00:00+00:00,204.54,384.539381,exit
2025-01-03 16:00:00+00:00,204.54,384.539381,exit
2025-01-03 20:00:00+00:00,204.69,415.03183763384,exit
2025-01-03 20:00:00+00:00,204.86,445.546451047568,exit
2025-01-03 20:00:00+00:00,205.18,476.20948332936797,exit
2025-01-03 20:00:00+00:00,205.7,507.07221792718394,exit
2025-01-03 20:00:00+00:00,206.38,538.1007642528799,exit
2025-01-03 20:00:00+00:00,207.66,569.7228616427599,exit
2025-01-03 20:00:00+00:00,207.66,569.7228616427599,exit
2025-01-04 00:00:00+00:00,207.77,600.5107623202641,exit
2025-01-04 00:00:00+00:00,207.88,631.2986629977684,exit
2025-01-04 08:00:00+00:00,207.98,662.5796909121639,exit
2025-01-04 08:00:00+00:00,208.08,693.8607188265594,exit
2025-01-04 08:00:00+00:00,208.25,725.211895606961,exit
2025-01-04 16:00:00+00:00,208.45,756.0927532969482,exit
2025-01-05 00:00:00+00:00,208.58,787.4908227652065,exit
2025-01-05 04:00:00+00:00,208.68,818.857459754922,exit
2025-01-05 08:00:00+00:00,208.78,850.2240967446376,exit
2025-01-05 08:00:00+00:00,208.88,881.6104923631588,exit
2025-01-05 08:00:00+00:00,209.01,913.0289034166142,exit
2025-01-05 16:00:00+00:00,209.15,944.5222390797816,exit
2025-01-05 20:00:00+00:00,210.29,977.0170356888401,exit
2025-01-06 00:00:00+00:00,210.39,1008.4897672481713,exit
2025-01-06 00:00:00+00:00,210.71,1040.1756406022369,exit
2025-01-06 00:00:00+00:00,211.86,1072.7043211428436,exit
2025-01-06 04:00:00+00:00,212.17,1104.55657627395,exit
2025-01-06 04:00:00+00:00,214.14,1138.07234859171,exit
2025-01-06 08:00:00+00:00,214.29,1170.0028531729802,exit
2025-01-06 08:00:00+00:00,214.74,1202.226882935578,exit
2025-01-06 12:00:00+00:00,214.84,1234.4509874369496,exit
2025-01-06 12:00:00+00:00,215.87,1267.6017427568288,exit
2025-01-06 16:00:00+00:00,216.23,1299.743863984369,exit
2025-01-06 16:00:00+00:00,216.41,1332.1324262272176,exit
2025-01-06 16:00:00+00:00,216.59,1364.5209884700662,exit
2025-01-06 20:00:00+00:00,216.69,1397.0050221075428,exit
2025-01-06 20:00:00+00:00,216.81,1429.5005767648981,exit
2025-01-06 20:00:00+00:00,216.93,1462.0012507961792,exit
2025-01-06 20:00:00+00:00,217.1,1494.5564861498196,exit
2025-01-06 20:00:00+00:00,217.28,1527.1190719011904,exit
2025-01-06 20:00:00+00:00,217.54,1559.7559549547295,exit
2025-01-06 20:00:00+00:00,217.84,1592.434589562601,exit
2025-01-06 20:00:00+00:00,218.26,1625.236283428333,exit
2025-01-07 00:00:00+00:00,218.36,1657.8283711486156,exit
2025-01-07 12:00:00+00:00,216.28,1688.4996204230972,exit
2025-01-07 12:00:00+00:00,216.85,1721.8242093138194,exit
2025-01-07 12:00:00+00:00,217.55,1755.2833731319836,exit
2025-01-08 00:00:00+00:00,217.77,1788.1325007506514,exit
2025-01-08 08:00:00+00:00,218.12,1821.1520516546561,exit
2025-01-08 12:00:00+00:00,218.23,1853.9219754123646,exit
2025-01-08 12:00:00+00:00,218.5,1886.8575986246985,exit
2025-01-08 12:00:00+00:00,218.87,1919.889996903916,exit
2025-01-08 12:00:00+00:00,219.26,1952.9514120237168,exit
2025-01-08 12:00:00+00:00,219.66,1986.0128271435176,exit
2025-01-08 12:00:00+00:00,220.06,2019.081392760227,exit
2025-01-08 12:00:00+00:00,220.53,2052.2196471394045,exit
2025-01-08 12:00:00+00:00,221.06,2085.4161736585315,exit
2025-01-08 16:00:00+00:00,218.89,2115.905477622945,exit
2025-01-08 16:00:00+00:00,216.73,2146.417885956766,exit
2025-01-08 16:00:00+00:00,217.12,2179.52325294314,exit
2025-01-08 16:00:00+00:00,217.65,2212.7741624393275,exit
2025-01-08 16:00:00+00:00,215.71,2243.9884934930947,exit
2025-01-08 16:00:00+00:00,214.09,2275.531087963737,exit
2025-01-09 00:00:00+00:00,215.46,2309.013128536909,exit
2025-01-09 04:00:00+00:00,215.6,2341.2673798680453,exit
2025-01-09 04:00:00+00:00,215.78,2373.563928118844,exit
2025-01-09 04:00:00+00:00,216.17,2406.0695428083236,exit
2025-01-09 04:00:00+00:00,216.57,2438.5770843182263,exit
2025-01-09 04:00:00+00:00,217.16,2471.280191678376,exit
2025-01-09 04:00:00+00:00,217.26,2504.5457056822647,exit
2025-01-09 04:00:00+00:00,217.46,2537.9003460472704,exit
2025-01-09 12:00:00+00:00,214.7,2568.2961656426655,exit
2025-01-09 12:00:00+00:00,212.3,2599.0580738056638,exit
2025-01-09 12:00:00+00:00,210.69,2630.6131827076942,exit
2025-01-09 12:00:00+00:00,209.09,2662.1682916097247,exit
2025-01-09 16:00:00+00:00,209.26,2694.9601045099316,exit
2025-01-09 16:00:00+00:00,209.44,2727.758190020262,exit
2025-01-09 16:00:00+00:00,209.62,2760.5562755305928,exit
2025-01-09 16:00:00+00:00,209.82,2793.375410002508,exit
2025-01-09 16:00:00+00:00,210.28,2826.4561478711544,exit
2025-01-09 16:00:00+00:00,210.76,2859.557442156337,exit
2025-01-09 16:00:00+00:00,211.41,2892.8203858122406,exit
2025-01-09 16:00:00+00:00,212.05,2926.0843308676804,exit
2025-01-09 16:00:00+00:00,213.08,2959.7304223812753,exit
2025-01-09 20:00:00+00:00,213.18,2991.1939149301584,exit
2025-01-09 20:00:00+00:00,213.56,3022.936020323602,exit
2025-01-10 04:00:00+00:00,213.66,3055.0723332216385,exit
2025-01-10 04:00:00+00:00,213.76,3087.208646119675,exit
2025-01-10 04:00:00+00:00,213.87,3119.3449590177115,exit
2025-01-10 04:00:00+00:00,214.17,3151.6794918583796,exit
2025-01-10 04:00:00+00:00,214.66,3184.2053381127625,exit
2025-01-10 04:00:00+00:00,215.29,3216.866585649268,exit
2025-01-10 04:00:00+00:00,216.37,3249.9867073236287,exit
2025-01-10 08:00:00+00:00,216.92,3282.566870416747,exit
