month,equity
2025-01,363.15
2025-02,805.83
2025-03,2315.42
2025-04,5630.45
2025-05,9835.47
2025-06,12365.12
2025-07,26030.51
2025-08,37043.56
2025-09,40931.43
2025-10,52782.24
2025-11,68062.8
2025-12,78009.35
2026-01,88099.71
2026-02,99472.55
2026-03,110777.9
2026-04,119922.65
2026-05,131391.37
2026-06,139095.96
2026-07,145401.29
2026-08,153585.48
