case,frac_per_trade,notional_cap,trades_taken,trades_skipped_no_cash,skip_rate,final_equity,total_contributions,profit_multiple_on_contrib,max_dd_pct,worst_day_pct,days_at_or_below_-3%,daily_stop_days,breaker_events,breaker_first
القاعدة 5% بسقف حجم 1000$ (حجم ما قُيّست عليه السجلات),5%,1000.0,9668,9,0.1%,32229.15,4200.0,7.6736,-5.56,-3.78,2,2,0,
القاعدة 5% بسقف حجم 3000$,5%,3000.0,9668,9,0.1%,36357.75,4200.0,8.6566,-5.56,-3.78,2,2,0,
القاعدة 5% بلا سقف (تركيب ورقي — للعلم فقط),5%,بلا سقف,9668,9,0.1%,36357.75,4200.0,8.6566,-5.56,-3.78,2,2,0,
النضج 15% بسقف حجم 3000$,15%,3000.0,9584,93,1.0%,153585.48,4200.0,36.568,-13.52,-9.61,12,10,0,
