symbol,NOVA_COOLDOWN_S,NOVA_MAX_PER,net,trades,win_pct,pf
BTCUSDT,120.0,2,-11896.917966158131,5049,18.38,0.3463124320575596
BTCUSDT,120.0,3,-13755.741486827834,5646,18.01,0.3396486525672471
BTCUSDT,300.0,2,-11896.917966158131,5049,18.38,0.3463124320575596
BTCUSDT,300.0,3,-13755.741486827834,5646,18.01,0.3396486525672471
ETHUSDT,120.0,2,-11044.603960263405,4751,21.36,0.42816087561298866
ETHUSDT,120.0,3,-13125.316283800259,5354,20.71,0.412169282600635
ETHUSDT,300.0,2,-11044.603960263405,4751,21.36,0.42816087561298866
ETHUSDT,300.0,3,-13125.316283800259,5354,20.71,0.412169282600635
SOLUSDT,120.0,2,-10706.408981232342,4438,26.97,0.6248157775778991
SOLUSDT,120.0,3,-13492.475703571328,5169,26.16,0.5987449632191701
SOLUSDT,300.0,2,-10706.408981232342,4438,26.97,0.6248157775778991
SOLUSDT,300.0,3,-13492.475703571328,5169,26.16,0.5987449632191701
XLMUSDT,120.0,2,-7864.041527278311,3219,23.24,0.6013782226486424
XLMUSDT,120.0,3,-9141.450908001098,3670,23.22,0.5959766943859227
XLMUSDT,300.0,2,-7864.041527278311,3219,23.24,0.6013782226486424
XLMUSDT,300.0,3,-9141.450908001098,3670,23.22,0.5959766943859227
LINKUSDT,120.0,2,-9536.878448539934,4503,27.56,0.6477756733798253
LINKUSDT,120.0,3,-11876.906068704022,5322,27.26,0.634518151117496
LINKUSDT,300.0,2,-9536.878448539934,4503,27.56,0.6477756733798253
LINKUSDT,300.0,3,-11876.906068704022,5322,27.26,0.634518151117496
GRAMUSDT,120.0,2,-3507.0020753259273,1316,24.01,0.49697143219217577
GRAMUSDT,120.0,3,-4272.826611768858,1561,23.57,0.4858248816423303
GRAMUSDT,300.0,2,-3507.0020753259273,1316,24.01,0.49697143219217577
GRAMUSDT,300.0,3,-4272.826611768858,1561,23.57,0.4858248816423303
RENDERUSDT,120.0,2,-3921.553957255442,1432,27.3,0.6566617405864751
RENDERUSDT,120.0,3,-5127.008522173654,1684,26.72,0.6259458072442078
RENDERUSDT,300.0,2,-3921.553957255442,1432,27.3,0.6566617405864751
RENDERUSDT,300.0,3,-5127.008522173654,1684,26.72,0.6259458072442078
FILUSDT,120.0,2,-10199.937460792618,4386,26.27,0.6229353990435544
FILUSDT,120.0,3,-13395.577020026487,5234,25.47,0.5941795037116558
FILUSDT,300.0,2,-10199.937460792618,4386,26.27,0.6229353990435544
FILUSDT,300.0,3,-13395.577020026487,5234,25.47,0.5941795037116558
