النسبة,الحالة,صفقات,صافي$,نصيب الصفقة$
1.0,جيدة,807,169.47,0.21
1.0,سيئة,9784,1421.89,0.1453
0.75,جيدة,807,169.47,0.21
0.75,سيئة,9784,1066.35,0.109
0.5,جيدة,807,169.47,0.21
0.5,سيئة,9784,710.81,0.0727
0.25,جيدة,807,169.47,0.21
0.25,سيئة,9784,355.53,0.0363
0.0,جيدة,807,169.47,0.21
