symbol,NOVA_RSI2_OS,NOVA_SMA_TREND,NOVA_SMA_PULL,net,trades,win_pct,pf
RENDERUSDT,5,100,3,4.139823141741565,9,100.0,inf
RENDERUSDT,5,100,5,4.139823141741565,9,100.0,inf
RENDERUSDT,5,100,10,4.139823141741565,9,100.0,inf
RENDERUSDT,5,200,3,4.1398231417415685,9,100.0,inf
RENDERUSDT,5,200,5,4.1398231417415685,9,100.0,inf
RENDERUSDT,5,200,10,4.1398231417415685,9,100.0,inf
RENDERUSDT,10,100,3,8.50985911412138,17,82.35,3.066792251575915
RENDERUSDT,10,100,5,8.50985911412138,17,82.35,3.066792251575915
RENDERUSDT,10,100,10,8.50985911412138,17,82.35,3.066792251575915
RENDERUSDT,10,200,3,11.579830062635025,20,90.0,4.686726003551848
RENDERUSDT,10,200,5,11.579830062635025,20,90.0,4.686726003551848
RENDERUSDT,10,200,10,11.579830062635025,20,90.0,4.686726003551848
RENDERUSDT,15,100,3,14.804947671191496,28,89.29,4.595682457425113
RENDERUSDT,15,100,5,14.804947671191496,28,89.29,4.595682457425113
RENDERUSDT,15,100,10,13.953007876873366,27,88.89,4.3887715624158155
RENDERUSDT,15,200,3,17.237696991474277,32,93.75,6.488048217985206
RENDERUSDT,15,200,5,17.237696991474277,32,93.75,6.488048217985206
RENDERUSDT,15,200,10,16.385757197156146,31,93.55,6.216812061998083
